record_id,dataset,fs,fs_original,bandpass_params,stft_params,segment_len,n_segments,len_raw_original,len_filtered_resampled,snr_estimate_raw_db,rms_noise_estimate_raw,runtime_s,timestamp
170425_ste_thuonghtk_1,BKIC,360,500,"HP:0.67Hz, LP:100.0Hz, Order:4/5","N=8, OVL=7, W=boxcar",4096,3,19354,13935,-17.193,2.973e+04,1.604,2025-11-28 18:36:39
170625_ste_thuonghtk_1,BKIC,360,500,"HP:0.67Hz, LP:100.0Hz, Order:4/5","N=8, OVL=7, W=boxcar",4096,1,9470,6818,-24.935,7.372e+04,0.789,2025-11-28 18:36:40
170625_ste_thuonghtk_2,BKIC,360,500,"HP:0.67Hz, LP:100.0Hz, Order:4/5","N=8, OVL=7, W=boxcar",4096,2,13362,9621,-22.667,5.332e+04,1.232,2025-11-28 18:36:41
170625_ste_thuonghtk_3(1),BKIC,360,500,"HP:0.67Hz, LP:100.0Hz, Order:4/5","N=8, OVL=7, W=boxcar",4096,1,11164,8038,-7.516,1.234e+04,0.697,2025-11-28 18:36:42
170625_ste_thuonghtk_6(1),BKIC,360,500,"HP:0.67Hz, LP:100.0Hz, Order:4/5","N=8, OVL=7, W=boxcar",4096,2,13477,9703,-13.979,3.393e+04,1.109,2025-11-28 18:36:43
270524_ste_thuong2,BKIC,360,500,"HP:0.67Hz, LP:100.0Hz, Order:4/5","N=8, OVL=7, W=boxcar",4096,3,20313,14625,-20.676,5.496e+04,1.649,2025-11-28 18:36:44
270524_ste_thuong3,BKIC,360,500,"HP:0.67Hz, LP:100.0Hz, Order:4/5","N=8, OVL=7, W=boxcar",4096,3,17974,12941,-15.716,2.324e+04,1.530,2025-11-28 18:36:46
270525_ste_anhtd03(1),BKIC,360,500,"HP:0.67Hz, LP:100.0Hz, Order:4/5","N=8, OVL=7, W=boxcar",4096,3,18161,13076,-10.212,1.661e+04,1.738,2025-11-28 18:36:48
270525_ste_anhtd03,BKIC,360,500,"HP:0.67Hz, LP:100.0Hz, Order:4/5","N=8, OVL=7, W=boxcar",4096,3,18161,13076,-10.212,1.661e+04,1.546,2025-11-28 18:36:49
270525_ste_anhtd04(1),BKIC,360,500,"HP:0.67Hz, LP:100.0Hz, Order:4/5","N=8, OVL=7, W=boxcar",4096,3,20162,14517,-5.550,5.384e+03,1.721,2025-11-28 18:36:51
