Record,NoiseType,SNR_Level,SNRI,RMSE,PSNR
115,bw,0.0,12.6747675,0.071914054,33.46467
106,ma,1.25,9.612398,0.09842368,29.499907
108,em,0.0,4.597111,0.105928525,23.459978
212,ma,5.0,5.1162934,0.09342532,27.63079
123,em,0.0,10.965027,0.07744064,32.12852
213,bw,1.25,17.444988,0.071382076,35.138004
105,bw,1.25,16.277712,0.049268484,34.36725
117,em,5.0,3.4707856,0.07780749,27.242628
108,em,5.0,0.39414474,0.09675745,24.257011
115,em,1.25,9.640872,0.088362135,31.678715
232,bw,5.0,3.8323476,0.049510613,28.77713
113,bw,1.25,7.4285216,0.14060734,26.056396
108,bw,5.0,1.0382457,0.08999252,24.904552
209,em,0.0,9.331916,0.080409646,28.70748
205,em,1.25,10.827042,0.04480207,31.053617
213,em,5.0,11.374738,0.093138255,32.822956
217,bw,1.25,7.2138343,0.21897765,25.024694
113,em,0.0,7.636844,0.15887198,25.015127
100,em,1.25,8.011533,0.06359606,28.75172
203,bw,0.0,11.281454,0.11857944,30.312145
219,ma,0.0,13.914663,0.08869229,31.460571
210,bw,0.0,16.083609,0.038802344,33.37351
115,bw,1.25,11.575378,0.07065508,33.61528
119,bw,0.0,13.3689785,0.112520285,31.787207
105,bw,0.0,17.24444,0.050539356,34.08397
111,em,0.0,9.461991,0.06176617,27.126497
215,em,5.0,6.4729366,0.07279932,30.414497
200,ma,5.0,5.003795,0.10978476,29.674137
202,em,5.0,6.318043,0.06908098,28.828655
205,bw,1.25,14.938977,0.028297894,35.165073
233,em,0.0,8.053577,0.20524953,26.198223
107,em,1.25,5.179253,0.39331228,22.187857
219,bw,1.25,16.831379,0.055263527,35.637417
205,em,0.0,11.472848,0.048060004,30.449425
123,ma,0.0,13.097376,0.06043766,34.255608
210,ma,0.0,13.675742,0.050838314,30.96771
117,bw,0.0,9.39747,0.06976451,28.166628
207,bw,1.25,4.051116,0.15883663,21.39727
215,ma,1.25,11.211043,0.06501708,31.398289
202,bw,5.0,7.5495296,0.060042337,30.057034
231,bw,0.0,9.738371,0.07788608,30.218828
215,ma,0.0,12.112004,0.06765838,31.049248
222,bw,1.25,3.3428552,0.07637843,24.671028
112,bw,1.25,4.692404,0.0923424,23.390871
219,em,0.0,12.192668,0.107974745,29.743134
123,em,5.0,8.377258,0.058478307,34.540752
209,ma,5.0,6.825445,0.060572043,31.20154
116,ma,1.25,13.466089,0.09799368,33.294872
124,em,1.25,8.8557005,0.11695525,27.86949
107,bw,1.25,7.2927847,0.30838266,24.305456
