Time(s),True_Raw_500Hz,Denoised_Resampled_500Hz
0.0000,21762.000000,0.152105
0.0020,21940.000000,0.192551
0.0040,22119.000000,0.191037
0.0060,22293.000000,0.235309
0.0080,22456.000000,0.259440
0.0100,22653.000000,0.276456
0.0120,22845.000000,0.309943
0.0140,23043.000000,0.326326
0.0160,23229.000000,0.344989
0.0180,23410.000000,0.371464
0.0200,23593.000000,0.388545
0.0220,23778.000000,0.412570
0.0240,23963.000000,0.438003
0.0260,24128.000000,0.462783
0.0280,24304.000000,0.501557
0.0300,24498.000000,0.535583
0.0320,24678.000000,0.561900
0.0340,24874.000000,0.594849
0.0360,25038.000000,0.623698
0.0380,25207.000000,0.652271
0.0400,25383.000000,0.690429
0.0420,25563.000000,0.730471
0.0440,25747.000000,0.773746
0.0460,25921.000000,0.816842
0.0480,26062.000000,0.850414
0.0500,26227.000000,0.877153
0.0520,26410.000000,0.895947
0.0540,26592.000000,0.910681
0.0560,26752.000000,0.932656
0.0580,26921.000000,0.961262
0.0600,27075.000000,0.996696
0.0620,27221.000000,1.038883
0.0640,27379.000000,1.080388
0.0660,27549.000000,1.121197
0.0680,27666.000000,1.161110
0.0700,27834.000000,1.199057
0.0720,30747.000000,1.241386
0.0740,30892.000000,1.286916
0.0760,31018.000000,1.330802
0.0780,31123.000000,1.370531
0.0800,31243.000000,1.397845
0.0820,31382.000000,1.412321
0.0840,31505.000000,1.421384
0.0860,31598.000000,1.428330
0.0880,33351.000000,1.439225
0.0900,33439.000000,1.455891
0.0920,33533.000000,1.472624
0.0940,33640.000000,1.487157
0.0960,33742.000000,1.495607
0.0980,33824.000000,1.498174
0.1000,33918.000000,1.503822
0.1020,35152.000000,1.514433
0.1040,35217.000000,1.529917
0.1060,35267.000000,1.552614
0.1080,35326.000000,1.576397
0.1100,35395.000000,1.596084
0.1120,35458.000000,1.610847
0.1140,35526.000000,1.618380
0.1160,36222.000000,1.623080
0.1180,36241.000000,1.630373
0.1200,36305.000000,1.638953
0.1220,36338.000000,1.648320
0.1240,36351.000000,1.656170
0.1260,36362.000000,1.657522
0.1280,36393.000000,1.650786
0.1300,36553.000000,1.635544
0.1320,36565.000000,1.614388
0.1340,36566.000000,1.593196
0.1360,36560.000000,1.575217
0.1380,36563.000000,1.562724
0.1400,36557.000000,1.556991
0.1420,36565.000000,1.556488
0.1440,36318.000000,1.559013
0.1460,36303.000000,1.560411
0.1480,36297.000000,1.557346
0.1500,36273.000000,1.550537
0.1520,36219.000000,1.540799
