Time(s),True_Raw_500Hz,Denoised_Resampled_500Hz
0.0000,-217465.000000,1.087903
0.0020,-186776.000000,1.068360
0.0040,-154439.000000,0.818031
0.0060,-117239.000000,0.852732
0.0080,-74297.000000,0.838093
0.0100,-48357.000000,1.044723
0.0120,-22326.000000,1.198469
0.0140,-2989.000000,0.918189
0.0160,3809.000000,0.735849
0.0180,6334.000000,0.731363
0.0200,13455.000000,0.771517
0.0220,19786.000000,0.929979
0.0240,21848.000000,0.833370
0.0260,24712.000000,0.633121
0.0280,23169.000000,0.762945
0.0300,15650.000000,0.854034
0.0320,12684.000000,0.813114
0.0340,21965.000000,0.880693
0.0360,26801.000000,0.891449
0.0380,28234.000000,0.909926
0.0400,29231.000000,1.040414
0.0420,29629.000000,1.097193
0.0440,27866.000000,1.093864
0.0460,30570.000000,1.074747
0.0480,24470.000000,1.087131
0.0500,25125.000000,1.220254
0.0520,23066.000000,1.310779
0.0540,25471.000000,1.302119
0.0560,28974.000000,1.276492
0.0580,29223.000000,1.225295
0.0600,26911.000000,1.285607
0.0620,27811.000000,1.402945
0.0640,27231.000000,1.365053
0.0660,25680.000000,1.315718
0.0680,25040.000000,1.304376
0.0700,24126.000000,1.262928
0.0720,25798.000000,1.327928
0.0740,27201.000000,1.390835
0.0760,25560.000000,1.332278
0.0780,23065.000000,1.315413
0.0800,23891.000000,1.324957
0.0820,23079.000000,1.326254
0.0840,23424.000000,1.356842
0.0860,24208.000000,1.316387
0.0880,24127.000000,1.254931
0.0900,23129.000000,1.243301
0.0920,25815.000000,1.228256
0.0940,25119.000000,1.259273
0.0960,25524.000000,1.260592
0.0980,26156.000000,1.172966
0.1000,26188.000000,1.155328
0.1020,25416.000000,1.151055
0.1040,25185.000000,1.106487
0.1060,25226.000000,1.140862
0.1080,26241.000000,1.132012
0.1100,26730.000000,1.052165
0.1120,26376.000000,1.056605
0.1140,26106.000000,1.059370
0.1160,26464.000000,1.040350
0.1180,26369.000000,1.065910
0.1200,25446.000000,1.041995
0.1220,25384.000000,1.022406
0.1240,25304.000000,1.078135
0.1260,25286.000000,1.113362
0.1280,26330.000000,1.131760
0.1300,26501.000000,1.125157
0.1320,26498.000000,1.084453
0.1340,26217.000000,1.121520
0.1360,26149.000000,1.177043
0.1380,25376.000000,1.151205
0.1400,25544.000000,1.113619
0.1420,25769.000000,1.061576
0.1440,25551.000000,1.011452
0.1460,25111.000000,1.042731
0.1480,25110.000000,1.072896
0.1500,25320.000000,1.045577
0.1520,24731.000000,1.021119
0.1540,25076.000000,1.006226
0.1560,24909.000000,1.020802
0.1580,24710.000000,1.065531
0.1600,24285.000000,1.057861
0.1620,24254.000000,0.989926
0.1640,24473.000000,0.926794
0.1660,24162.000000,0.904849
0.1680,23311.000000,0.907452
0.1700,23116.000000,0.854496
0.1720,23154.000000,0.722401
0.1740,22853.000000,0.600773
0.1760,23093.000000,0.545487
0.1780,23586.000000,0.529240
0.1800,22291.000000,0.510572
0.1820,22891.000000,0.476066
0.1840,23549.000000,0.447898
0.1860,23147.000000,0.447385
0.1880,23549.000000,0.484647
0.1900,24566.000000,0.551307
0.1920,2909.000000,0.594988
0.1940,-30.000000,0.598127
0.1960,2966.000000,0.610644
0.1980,7832.000000,0.643824
0.2000,2401.000000,0.675332
0.2020,-2395.000000,0.693136
0.2040,2673.000000,0.657610
0.2060,354.000000,0.576237
0.2080,-6879.000000,0.519562
0.2100,-14294.000000,0.474001
0.2120,-20806.000000,0.405078
0.2140,-26274.000000,0.351656
0.2160,-31481.000000,0.295049
0.2180,-36259.000000,0.210068
0.2200,-41678.000000,0.160108
0.2220,-45589.000000,0.137056
0.2240,-48512.000000,0.096322
0.2260,-49521.000000,0.075655
0.2280,-46394.000000,0.060099
0.2300,-35426.000000,0.018463
0.2320,-32374.000000,0.005923
0.2340,-29185.000000,0.015744
0.2360,-30987.000000,-0.014801
0.2380,-33756.000000,-0.078370
0.2400,-34558.000000,-0.136168
0.2420,-33666.000000,-0.158764
0.2440,-31524.000000,-0.161305
0.2460,-28542.000000,-0.190771
0.2480,-24544.000000,-0.236311
0.2500,-21914.000000,-0.269236
0.2520,-19909.000000,-0.288244
0.2540,-18479.000000,-0.296153
0.2560,-18568.000000,-0.312697
0.2580,-19726.000000,-0.336099
0.2600,-20017.000000,-0.365396
0.2620,-17731.000000,-0.419076
0.2640,-22492.000000,-0.435648
0.2660,-27021.000000,-0.385915
0.2680,-30365.000000,-0.351835
0.2700,-35021.000000,-0.342872
0.2720,-38924.000000,-0.333446
0.2740,-43256.000000,-0.325155
0.2760,-47947.000000,-0.270781
0.2780,-58047.000000,-0.201481
0.2800,-62402.000000,-0.192340
0.2820,-65432.000000,-0.214931
0.2840,-69158.000000,-0.257920
0.2860,-74616.000000,-0.310050
0.2880,-52011.000000,-0.333063
0.2900,-55241.000000,-0.380860
0.2920,-58568.000000,-0.471635
0.2940,-61671.000000,-0.567322
0.2960,-64836.000000,-0.675197
0.2980,-68352.000000,-0.749422
0.3000,-70474.000000,-0.789401
0.3020,-71954.000000,-0.868757
0.3040,-73864.000000,-0.948756
0.3060,-75607.000000,-1.003039
0.3080,-76851.000000,-1.040012
0.3100,-78736.000000,-1.022592
0.3120,-85712.000000,-1.026251
0.3140,-93357.000000,-1.068707
0.3160,-94803.000000,-1.041724
0.3180,-97662.000000,-1.007183
0.3200,-97723.000000,-1.000678
0.3220,-97239.000000,-0.948364
0.3240,-96454.000000,-0.947237
0.3260,-95357.000000,-1.019913
