Time(s),True_Raw_500Hz,Denoised_Resampled_500Hz
0.0000,-7347.000000,-0.142546
0.0020,-7529.000000,-0.133984
0.0040,-7575.000000,-0.119889
0.0060,-7617.000000,-0.115145
0.0080,-7673.000000,-0.118360
0.0100,-7601.000000,-0.149538
0.0120,-7694.000000,-0.166155
0.0140,-7752.000000,-0.141010
0.0160,-7822.000000,-0.125762
0.0180,-7874.000000,-0.133472
0.0200,-7982.000000,-0.149308
0.0220,-8052.000000,-0.168118
0.0240,-8157.000000,-0.162032
0.0260,-8181.000000,-0.145955
0.0280,-8222.000000,-0.156795
0.0300,-8257.000000,-0.170139
0.0320,-8320.000000,-0.166586
0.0340,-8411.000000,-0.156442
0.0360,-8424.000000,-0.141772
0.0380,-8431.000000,-0.138088
0.0400,-8561.000000,-0.149127
0.0420,-8655.000000,-0.151550
0.0440,-8697.000000,-0.138794
0.0460,-8770.000000,-0.121477
0.0480,-8782.000000,-0.115754
0.0500,-8793.000000,-0.125148
0.0520,-8844.000000,-0.130533
0.0540,-8887.000000,-0.128305
0.0560,-8912.000000,-0.123281
0.0580,-8977.000000,-0.116302
0.0600,-8991.000000,-0.124315
0.0620,-9068.000000,-0.140652
0.0640,-9176.000000,-0.142053
0.0660,-9182.000000,-0.139017
0.0680,-9222.000000,-0.136813
0.0700,-9261.000000,-0.133685
0.0720,-9227.000000,-0.141691
0.0740,-9246.000000,-0.143080
0.0760,-9100.000000,-0.125017
0.0780,-7127.000000,-0.111404
0.0800,-7067.000000,-0.106065
0.0820,-6936.000000,-0.102889
0.0840,-6814.000000,-0.102419
0.0860,-6679.000000,-0.093424
0.0880,-6564.000000,-0.083067
0.0900,-6501.000000,-0.081477
0.0920,-6313.000000,-0.077816
0.0940,-6192.000000,-0.075202
0.0960,-6137.000000,-0.073198
0.0980,-6082.000000,-0.061976
0.1000,-6021.000000,-0.052647
0.1020,-5062.000000,-0.045383
0.1040,-4939.000000,-0.032899
0.1060,-4837.000000,-0.025098
0.1080,-4781.000000,-0.015517
0.1100,-4776.000000,0.000585
0.1120,-4709.000000,0.008017
0.1140,-4703.000000,0.011501
0.1160,-4658.000000,0.019228
0.1180,-4589.000000,0.026002
0.1200,-4533.000000,0.033320
0.1220,-4501.000000,0.036980
0.1240,-4354.000000,0.035918
0.1260,-4334.000000,0.039828
0.1280,-4310.000000,0.044207
0.1300,-4254.000000,0.046988
0.1320,-4207.000000,0.052710
0.1340,-4227.000000,0.054447
0.1360,-4241.000000,0.057246
0.1380,-4220.000000,0.067918
0.1400,-4182.000000,0.074868
0.1420,-4135.000000,0.079337
0.1440,-4056.000000,0.087575
0.1460,-4055.000000,0.091626
0.1480,-4011.000000,0.093068
0.1500,-3982.000000,0.096187
0.1520,-4022.000000,0.096407
0.1540,-4045.000000,0.095931
0.1560,-4001.000000,0.096887
0.1580,-3987.000000,0.096173
0.1600,-3945.000000,0.094695
0.1620,-3954.000000,0.094540
0.1640,-3951.000000,0.096284
0.1660,-3955.000000,0.097562
0.1680,-3925.000000,0.097685
0.1700,-3897.000000,0.101941
0.1720,-3942.000000,0.108267
0.1740,-3961.000000,0.111372
0.1760,-3966.000000,0.114473
0.1780,-4000.000000,0.116354
0.1800,-3976.000000,0.115068
0.1820,-3956.000000,0.116045
0.1840,-3947.000000,0.117340
0.1860,-3967.000000,0.115622
0.1880,-3972.000000,0.114548
0.1900,-4045.000000,0.113072
0.1920,-4109.000000,0.111016
0.1940,-4075.000000,0.111991
0.1960,-4059.000000,0.113596
0.1980,-4061.000000,0.114222
0.2000,-4058.000000,0.115328
0.2020,-4084.000000,0.116436
0.2040,-4085.000000,0.118705
0.2060,-4076.000000,0.121583
0.2080,-4091.000000,0.122804
0.2100,-4138.000000,0.123412
0.2120,-4187.000000,0.122781
0.2140,-4339.000000,0.121438
0.2160,-4364.000000,0.122739
0.2180,-4360.000000,0.123503
0.2200,-4329.000000,0.121234
0.2220,-4297.000000,0.119863
0.2240,-4341.000000,0.118961
0.2260,-4309.000000,0.117520
0.2280,-4282.000000,0.118601
0.2300,-4338.000000,0.120518
0.2320,-4386.000000,0.120560
0.2340,-4420.000000,0.120499
0.2360,-4451.000000,0.121175
0.2380,-4434.000000,0.122629
0.2400,-4418.000000,0.124438
0.2420,-4364.000000,0.124349
0.2440,-4355.000000,0.122418
0.2460,-4387.000000,0.120262
0.2480,-4389.000000,0.119149
0.2500,-4451.000000,0.120442
0.2520,-4510.000000,0.120810
0.2540,-4482.000000,0.116942
0.2560,-4580.000000,0.113784
0.2580,-4476.000000,0.114397
0.2600,-4469.000000,0.115692
0.2620,-4474.000000,0.116832
0.2640,-4435.000000,0.115956
0.2660,-4443.000000,0.111940
0.2680,-4525.000000,0.111260
0.2700,-4527.000000,0.115526
0.2720,-4542.000000,0.117812
0.2740,-4608.000000,0.116678
0.2760,-4606.000000,0.114669
0.2780,-4574.000000,0.112534
