Time(s),True_Raw_500Hz,Denoised_Resampled_500Hz
0.0000,-3159.000000,-0.074108
0.0020,-3189.000000,-0.078616
0.0040,-3193.000000,-0.022334
0.0060,-3222.000000,-0.048892
0.0080,-3256.000000,-0.057763
0.0100,-3270.000000,-0.050021
0.0120,-3296.000000,-0.062184
0.0140,-3313.000000,-0.047291
0.0160,-3326.000000,-0.051019
0.0180,-3351.000000,-0.077659
0.0200,-3372.000000,-0.075430
0.0220,-3402.000000,-0.080840
0.0240,-3425.000000,-0.085468
0.0260,-3429.000000,-0.074951
0.0280,-3455.000000,-0.091938
0.0300,-3484.000000,-0.097830
0.0320,-3491.000000,-0.078581
0.0340,-3503.000000,-0.080179
0.0360,-3556.000000,-0.081373
0.0380,-3581.000000,-0.088834
0.0400,-3600.000000,-0.116859
0.0420,-3620.000000,-0.121371
0.0440,-3632.000000,-0.121664
0.0460,-3657.000000,-0.139672
0.0480,-3686.000000,-0.153095
0.0500,-3723.000000,-0.180089
0.0520,-3738.000000,-0.201666
0.0540,-3768.000000,-0.192248
0.0560,-3794.000000,-0.194107
0.0580,-3821.000000,-0.205224
0.0600,-3835.000000,-0.208757
0.0620,-3866.000000,-0.216564
0.0640,-3909.000000,-0.204748
0.0660,-3943.000000,-0.184035
0.0680,-3961.000000,-0.183928
0.0700,-3982.000000,-0.184186
0.0720,-4012.000000,-0.187589
0.0740,-4062.000000,-0.189636
0.0760,-4257.000000,-0.173405
0.0780,-5047.000000,-0.175999
0.0800,-5091.000000,-0.192446
0.0820,-5143.000000,-0.192423
0.0840,-5181.000000,-0.203779
0.0860,-5211.000000,-0.216434
0.0880,-5254.000000,-0.214085
0.0900,-5289.000000,-0.232694
0.0920,-5319.000000,-0.258470
0.0940,-5366.000000,-0.265743
0.0960,-5416.000000,-0.270812
0.0980,-5456.000000,-0.271230
0.1000,-5481.000000,-0.273459
0.1020,-5519.000000,-0.290189
0.1040,-5555.000000,-0.302955
0.1060,-5599.000000,-0.309686
0.1080,-5621.000000,-0.317050
0.1100,-5664.000000,-0.322894
0.1120,-5703.000000,-0.336975
0.1140,-5739.000000,-0.352198
0.1160,-5782.000000,-0.358039
0.1180,-5807.000000,-0.365028
0.1200,-5892.000000,-0.371865
0.1220,-5922.000000,-0.373955
0.1240,-5946.000000,-0.374923
0.1260,-5986.000000,-0.375441
0.1280,-6034.000000,-0.380664
0.1300,-6074.000000,-0.387354
0.1320,-6104.000000,-0.390765
0.1340,-6123.000000,-0.399531
0.1360,-6159.000000,-0.411527
0.1380,-6195.000000,-0.420144
0.1400,-6220.000000,-0.425199
0.1420,-6266.000000,-0.428910
0.1440,-6311.000000,-0.443234
0.1460,-6340.000000,-0.459840
0.1480,-6372.000000,-0.460402
0.1500,-6407.000000,-0.463066
0.1520,-6448.000000,-0.478281
0.1540,-6482.000000,-0.490498
0.1560,-6521.000000,-0.498497
0.1580,-6546.000000,-0.502135
0.1600,-6594.000000,-0.503359
0.1620,-6623.000000,-0.511792
0.1640,-6687.000000,-0.521039
0.1660,-6714.000000,-0.524186
0.1680,-6752.000000,-0.520407
0.1700,-6784.000000,-0.515011
0.1720,-6836.000000,-0.524289
0.1740,-6857.000000,-0.538338
0.1760,-6884.000000,-0.541457
0.1780,-6923.000000,-0.547188
0.1800,-6949.000000,-0.557479
0.1820,-6969.000000,-0.571677
0.1840,-6999.000000,-0.592148
0.1860,-7030.000000,-0.597737
0.1880,-7056.000000,-0.595749
0.1900,-7087.000000,-0.604566
0.1920,-7117.000000,-0.603531
0.1940,-7147.000000,-0.601143
0.1960,-7169.000000,-0.617483
0.1980,-7203.000000,-0.624317
0.2000,-7232.000000,-0.615024
0.2020,-7246.000000,-0.616981
0.2040,-7270.000000,-0.633687
0.2060,-7326.000000,-0.648566
0.2080,-7344.000000,-0.649346
0.2100,-7354.000000,-0.644032
0.2120,-7366.000000,-0.638183
0.2140,-7401.000000,-0.626346
0.2160,-7407.000000,-0.623805
0.2180,-7407.000000,-0.628975
0.2200,-7419.000000,-0.621768
0.2220,-7432.000000,-0.616752
0.2240,-7450.000000,-0.620715
0.2260,-7444.000000,-0.628699
0.2280,-7436.000000,-0.648301
0.2300,-7431.000000,-0.659748
0.2320,-7431.000000,-0.661961
0.2340,-7422.000000,-0.672620
0.2360,-7416.000000,-0.665526
0.2380,-7402.000000,-0.650257
0.2400,-7386.000000,-0.655138
0.2420,-7374.000000,-0.649326
