Time_s,Raw_Preprocessed_Norm,Denoised_Norm
0.0000,0.210528,0.026349
0.0028,0.560260,0.029083
0.0056,0.442965,0.025461
0.0083,0.532294,0.017330
0.0111,0.452508,0.009344
0.0139,0.525612,0.005162
0.0167,0.491376,0.002044
0.0194,0.507381,-0.006812
0.0222,0.454917,-0.021210
0.0250,0.508433,-0.034208
0.0278,0.510737,-0.036905
0.0306,0.502856,-0.023844
0.0333,0.442631,-0.001083
0.0361,0.473999,0.017960
0.0389,0.468627,0.025482
0.0417,0.451773,0.027174
0.0444,0.400883,0.034817
0.0472,0.384923,0.052053
0.0500,0.396584,0.071683
0.0528,0.394308,0.076585
0.0556,0.348351,0.058816
0.0583,0.375106,0.027312
0.0611,0.438396,0.000739
0.0639,0.487085,-0.008872
0.0667,0.486298,-0.004658
0.0694,0.514618,-0.003339
0.0722,0.526596,-0.016224
0.0750,0.564153,-0.038074
0.0778,0.583116,-0.052255
0.0806,0.583424,-0.051964
0.0833,0.568536,-0.044948
0.0861,0.565914,-0.048476
0.0889,0.497152,-0.071434
0.0917,0.482981,-0.108086
0.0944,0.522715,-0.142027
0.0972,0.509826,-0.161370
0.1000,0.479537,-0.167114
0.1028,0.426990,-0.166334
0.1056,0.407686,-0.163717
0.1083,0.431240,-0.159101
0.1111,0.384288,-0.151150
0.1139,0.370464,-0.143938
0.1167,0.290543,-0.142140
0.1194,0.255930,-0.144455
0.1222,0.171195,-0.143749
0.1250,0.093346,-0.132191
0.1278,0.102740,-0.110190
0.1306,0.108173,-0.084469
0.1333,0.096209,-0.064172
0.1361,0.025944,-0.054772
0.1389,0.094667,-0.056620
0.1417,0.115911,-0.066091
0.1444,0.095483,-0.077684
0.1472,0.093593,-0.083788
0.1500,0.115641,-0.079693
0.1528,0.165791,-0.066074
0.1556,0.191076,-0.047627
0.1583,0.233377,-0.030134
0.1611,0.286983,-0.015215
0.1639,0.294179,-0.002682
0.1667,0.283976,0.005569
0.1694,0.297509,0.004489
0.1722,0.330686,-0.008896
0.1750,0.336985,-0.028501
0.1778,0.388020,-0.044127
0.1806,0.480276,-0.052319
0.1833,0.509028,-0.057201
0.1861,0.593385,-0.065138
0.1889,0.594484,-0.076306
0.1917,0.640122,-0.083220
0.1944,0.640024,-0.077831
0.1972,0.611666,-0.060755
0.2000,0.521064,-0.037953
0.2028,0.465537,-0.015549
0.2056,0.394886,0.003899
0.2083,0.350488,0.020585
0.2111,0.251982,0.032346
0.2139,0.241079,0.035686
0.2167,0.127700,0.038052
0.2194,0.160043,0.054033
0.2222,0.219408,0.092474
0.2250,0.192977,0.143019
0.2278,0.241880,0.184550
0.2306,0.292142,0.206073
0.2333,0.321922,0.226865
0.2361,0.337748,0.284808
0.2389,0.356810,0.404147
0.2417,0.393925,0.570063
0.2444,0.440635,0.735574
0.2472,0.448197,0.843229
0.2500,0.486570,0.852410
0.2528,0.533170,0.761126
0.2556,0.476692,0.603097
0.2583,0.250286,0.429283
