Time_s,Raw_Preprocessed_Norm,Denoised_Norm
0.0000,0.505087,0.001568
0.0028,0.618121,0.023284
0.0056,0.590976,0.022451
0.0083,0.619635,0.002570
0.0111,0.619494,-0.003203
0.0139,0.629401,-0.007913
0.0167,0.616274,-0.011879
0.0194,0.630065,-0.016967
0.0222,0.635414,-0.012368
0.0250,0.637481,-0.018791
0.0278,0.633737,-0.013091
0.0306,0.646600,0.002741
0.0333,0.646149,0.006373
0.0361,0.639051,-0.000234
0.0389,0.639876,-0.003931
0.0417,0.653039,-0.032156
0.0444,0.634462,-0.050264
0.0472,0.618687,-0.073640
0.0500,0.633696,-0.073897
0.0528,0.642911,-0.079991
0.0556,0.636482,-0.039416
0.0583,0.647327,-0.012845
0.0611,0.643514,-0.001465
0.0639,0.643115,0.044687
0.0667,0.692227,0.060846
0.0694,0.723168,0.061047
0.0722,0.595452,0.033742
0.0750,0.419668,0.010625
0.0778,0.330640,-0.019067
0.0806,0.338103,-0.049138
0.0833,0.382716,-0.050352
0.0861,0.429000,-0.059798
0.0889,0.518374,-0.038453
0.0917,0.615800,-0.028657
0.0944,0.606073,-0.015524
0.0972,0.631158,0.007150
0.1000,0.654940,0.017132
0.1028,0.653454,0.022270
0.1056,0.641674,0.020192
0.1083,0.651318,0.021764
0.1111,0.643626,0.006939
0.1139,0.632383,-0.007193
0.1167,0.641029,0.014696
0.1194,0.665557,0.010888
0.1222,0.658236,0.024775
0.1250,0.653853,0.028974
0.1278,0.667764,0.035136
0.1306,0.675167,0.044433
0.1333,0.658298,0.051738
0.1361,0.667855,0.057700
0.1389,0.689901,0.057030
0.1417,0.686665,0.054745
0.1444,0.683490,0.050678
0.1472,0.695079,0.047420
0.1500,0.698531,0.046338
0.1528,0.693699,0.045004
0.1556,0.693369,0.044549
0.1583,0.717486,0.048620
0.1611,0.710404,0.053019
0.1639,0.697437,0.057004
0.1667,0.701976,0.056640
0.1694,0.725059,0.059109
0.1722,0.712327,0.061176
0.1750,0.699697,0.058555
0.1778,0.711348,0.050711
0.1806,0.707140,0.047758
0.1833,0.695830,0.047676
0.1861,0.695707,0.042148
0.1889,0.702457,0.039477
0.1917,0.691423,0.041456
0.1944,0.662215,0.043854
