Time_s,Raw_Preprocessed_Norm,Denoised_Norm
0.0000,0.505087,-0.010487
0.0028,0.618121,-0.005223
0.0056,0.590976,-0.002748
0.0083,0.619635,-0.006926
0.0111,0.619494,-0.017783
0.0139,0.629401,-0.029234
0.0167,0.616274,-0.035442
0.0194,0.630065,-0.034452
0.0222,0.635414,-0.028809
0.0250,0.637481,-0.021834
0.0278,0.633737,-0.017878
0.0306,0.646600,-0.013953
0.0333,0.646149,-0.005547
0.0361,0.639051,0.005533
0.0389,0.639876,0.011470
0.0417,0.653039,-0.004745
0.0444,0.634462,-0.052504
0.0472,0.618687,-0.125361
0.0500,0.633696,-0.199124
0.0528,0.642911,-0.243712
0.0556,0.636482,-0.243940
0.0583,0.647327,-0.207984
0.0611,0.643514,-0.155850
0.0639,0.643115,-0.103731
0.0667,0.692227,-0.056696
0.0694,0.723168,-0.017828
0.0722,0.595452,0.008384
0.0750,0.419668,0.014133
0.0778,0.330640,-0.000039
0.0806,0.338103,-0.021735
0.0833,0.382716,-0.034949
0.0861,0.429000,-0.033338
0.0889,0.518374,-0.020778
0.0917,0.615800,-0.006249
0.0944,0.606073,0.004378
0.0972,0.631158,0.011553
0.1000,0.654940,0.015789
0.1028,0.653454,0.019056
0.1056,0.641674,0.021401
0.1083,0.651318,0.023877
0.1111,0.643626,0.026669
0.1139,0.632383,0.030822
0.1167,0.641029,0.035836
0.1194,0.665557,0.041065
0.1222,0.658236,0.045375
0.1250,0.653853,0.050008
0.1278,0.667764,0.055204
0.1306,0.675167,0.060874
0.1333,0.658298,0.065827
0.1361,0.667855,0.069337
0.1389,0.689901,0.071346
0.1417,0.686665,0.072394
0.1444,0.683490,0.071893
0.1472,0.695079,0.069402
0.1500,0.698531,0.065803
0.1528,0.693699,0.062843
0.1556,0.693369,0.062409
0.1583,0.717486,0.063446
0.1611,0.710404,0.063473
0.1639,0.697437,0.061566
0.1667,0.701976,0.058399
0.1694,0.725059,0.055339
0.1722,0.712327,0.052635
0.1750,0.699697,0.049013
0.1778,0.711348,0.043779
0.1806,0.707140,0.037780
0.1833,0.695830,0.032257
0.1861,0.695707,0.027216
0.1889,0.702457,0.021998
0.1917,0.691423,0.015883
0.1944,0.662215,0.010742
0.1972,0.678752,0.008934
0.2000,0.677776,0.011293
0.2028,0.654910,0.015770
0.2056,0.643667,0.018882
0.2083,0.640162,0.018527
0.2111,0.628358,0.014976
0.2139,0.620544,0.010721
0.2167,0.607228,0.007877
0.2194,0.602782,0.006667
0.2222,0.590385,0.006435
0.2250,0.578478,0.006143
0.2278,0.598119,0.005293
0.2306,0.600076,0.004362
0.2333,0.575138,0.004338
0.2361,0.579749,0.005298
0.2389,0.584214,0.006637
0.2417,0.574854,0.007247
0.2444,0.557986,0.006983
0.2472,0.566804,0.006487
0.2500,0.573528,0.006678
0.2528,0.546375,0.007863
0.2556,0.557644,0.009111
0.2583,0.545031,0.009317
0.2611,0.526201,0.008030
0.2639,0.546119,0.005754
0.2667,0.544625,0.003570
0.2694,0.529131,0.002098
0.2722,0.530099,0.001310
0.2750,0.539588,0.000807
0.2778,0.531616,-0.000210
0.2806,0.521106,-0.002237
0.2833,0.525392,-0.005624
0.2861,0.529276,-0.010186
0.2889,0.508816,-0.014582
0.2917,0.502504,-0.017412
0.2944,0.507871,-0.017920
0.2972,0.493965,-0.016388
0.3000,0.488317,-0.014620
0.3028,0.487150,-0.014571
0.3056,0.488516,-0.016530
0.3083,0.481569,-0.019011
0.3111,0.465358,-0.020041
0.3139,0.469301,-0.018897
0.3167,0.465495,-0.016319
0.3194,0.449937,-0.013494
0.3222,0.452947,-0.011326
0.3250,0.463823,-0.010376
0.3278,0.440897,-0.010676
0.3306,0.427430,-0.011141
0.3333,0.434560,-0.009556
0.3361,0.430180,-0.003590
0.3389,0.412477,0.006796
0.3417,0.413916,0.018776
0.3444,0.426710,0.028408
0.3472,0.422017,0.033994
0.3500,0.407500,0.036599
0.3528,0.412419,0.038297
0.3556,0.420725,0.040007
0.3583,0.409403,0.040988
0.3611,0.408649,0.040940
0.3639,0.437087,0.041746
0.3667,0.441922,0.046792
0.3694,0.441484,0.056357
0.3722,0.438007,0.067484
0.3750,0.458115,0.077238
0.3778,0.452296,0.084133
0.3806,0.443995,0.087476
0.3833,0.464989,0.085757
0.3861,0.463595,0.078780
0.3889,0.452969,0.070134
0.3917,0.464637,0.064775
0.3944,0.485691,0.064881
0.3972,0.489467,0.068234
0.4000,0.479854,0.071191
0.4028,0.495338,0.075158
0.4056,0.500204,0.086896
0.4083,0.479567,0.109568
0.4111,0.472976,0.131347
0.4139,0.485260,0.126156
0.4167,0.481709,0.070743
0.4194,0.463248,-0.032183
0.4222,0.471978,-0.150174
0.4250,0.477897,-0.236056
0.4278,0.462960,-0.256710
0.4306,0.437769,-0.212197
0.4333,0.462453,-0.130599
0.4361,0.503450,-0.046512
0.4389,0.487955,0.018271
0.4417,0.401625,0.059187
0.4444,0.247887,0.079207
0.4472,0.119804,0.082952
0.4500,0.072269,0.075153
0.4528,0.136555,0.061846
0.4556,0.209838,0.047380
0.4583,0.266611,0.033929
0.4611,0.357088,0.020732
0.4639,0.397393,0.008140
0.4667,0.409695,-0.001171
0.4694,0.402528,-0.004511
0.4722,0.406309,-0.001716
0.4750,0.409082,0.002475
0.4778,0.399450,0.004490
0.4806,0.398828,0.004430
0.4833,0.384456,0.005040
0.4861,0.365971,0.009025
0.4889,0.332457,0.015618
0.4917,0.319639,0.021159
0.4944,0.325934,0.023912
0.4972,0.304232,0.024326
0.5000,0.292227,0.023405
0.5028,0.295073,0.021396
0.5056,0.286760,0.018050
0.5083,0.275584,0.013738
0.5111,0.274667,0.010528
0.5139,0.295656,0.010584
0.5167,0.289575,0.013819
0.5194,0.282042,0.018301
0.5222,0.281204,0.021525
0.5250,0.286667,0.022703
0.5278,0.275551,0.022274
0.5306,0.252782,0.020587
0.5333,0.259371,0.018544
0.5361,0.255505,0.017383
0.5389,0.238010,0.018567
0.5417,0.241231,0.022003
0.5444,0.252963,0.025073
0.5472,0.244573,0.024132
0.5500,0.235310,0.018176
0.5528,0.237707,0.009690
0.5556,0.235630,0.002096
0.5583,0.218672,-0.002581
0.5611,0.219065,-0.006173
0.5639,0.219707,-0.010247
0.5667,0.212826,-0.014963
0.5694,0.206464,-0.018954
0.5722,0.194923,-0.020331
0.5750,0.178737,-0.019380
0.5778,0.146873,-0.017791
0.5806,0.139483,-0.016286
0.5833,0.142484,-0.014962
0.5861,0.127122,-0.013758
0.5889,0.090537,-0.013564
0.5917,0.088149,-0.015618
0.5944,0.098302,-0.020186
0.5972,0.086781,-0.025471
0.6000,0.075762,-0.029305
0.6028,0.080509,-0.030248
0.6056,0.085080,-0.028916
0.6083,0.072301,-0.026490
0.6111,0.068821,-0.024574
0.6139,0.079490,-0.024431
0.6167,0.057962,-0.025559
0.6194,0.038888,-0.027158
0.6222,0.039296,-0.028307
0.6250,0.041034,-0.027596
0.6278,0.018847,-0.025077
0.6306,0.011465,-0.021551
0.6333,0.027639,-0.018852
0.6361,0.015313,-0.017886
0.6389,0.001168,-0.019188
0.6417,-0.000838,-0.021917
0.6444,-0.003740,-0.025263
0.6472,-0.012972,-0.028500
0.6500,-0.016225,-0.030926
0.6528,-0.006249,-0.031236
0.6556,-0.008298,-0.029135
0.6583,-0.023064,-0.025836
0.6611,-0.023299,-0.024056
0.6639,-0.018993,-0.026574
0.6667,-0.039722,-0.033128
0.6694,-0.057328,-0.041585
0.6722,-0.044685,-0.048831
0.6750,-0.048346,-0.053568
0.6778,-0.067039,-0.056348
0.6806,-0.070563,-0.057461
0.6833,-0.050262,-0.057045
0.6861,-0.061459,-0.054656
0.6889,-0.081873,-0.052273
0.6917,-0.093450,-0.051906
0.6944,-0.091795,-0.055208
0.6972,-0.103156,-0.060859
0.7000,-0.113082,-0.066133
0.7028,-0.110390,-0.067616
0.7056,-0.115132,-0.064370
0.7083,-0.126648,-0.058648
0.7111,-0.112783,-0.054059
0.7139,-0.108398,-0.052268
0.7167,-0.118032,-0.052293
0.7194,-0.137434,-0.051888
0.7222,-0.126006,-0.050291
0.7250,-0.122207,-0.048329
0.7278,-0.136217,-0.047729
0.7306,-0.128238,-0.048454
0.7333,-0.115128,-0.048562
0.7361,-0.126136,-0.045830
0.7389,-0.131405,-0.040860
0.7417,-0.127677,-0.035707
0.7444,-0.133672,-0.032068
0.7472,-0.129336,-0.030335
0.7500,-0.127392,-0.028404
0.7528,-0.131796,-0.025701
0.7556,-0.130619,-0.022881
0.7583,-0.136191,-0.021249
0.7611,-0.138089,-0.020842
0.7639,-0.118656,-0.019207
0.7667,-0.128774,-0.014076
0.7694,-0.141882,-0.006884
0.7722,-0.128704,-0.002281
0.7750,-0.129637,-0.004838
0.7778,-0.134413,-0.012447
0.7806,-0.134322,-0.019022
0.7833,-0.125228,-0.019987
0.7861,-0.135432,-0.014712
0.7889,-0.131683,-0.007097
0.7917,-0.110418,-0.001865
0.7944,-0.105895,-0.001470
0.7972,-0.129785,-0.005796
0.8000,-0.141156,-0.011108
0.8028,-0.137546,-0.013703
0.8056,-0.142388,-0.013519
0.8083,-0.157161,-0.013237
0.8111,-0.138705,-0.013819
0.8139,-0.120021,-0.011305
0.8167,-0.135038,0.001192
0.8194,-0.149320,0.028234
0.8222,-0.132454,0.061635
0.8250,-0.127084,0.080541
0.8278,-0.138894,0.061128
0.8306,-0.135417,-0.004719
0.8333,-0.136373,-0.100341
0.8361,-0.143225,-0.190429
0.8389,-0.144038,-0.241255
0.8417,-0.120642,-0.237255
0.8444,-0.102871,-0.189823
0.8472,-0.080715,-0.126030
0.8500,-0.083826,-0.070969
0.8528,-0.173488,-0.033927
0.8556,-0.321594,-0.013561
0.8583,-0.427447,-0.003203
0.8611,-0.436814,0.001034
0.8639,-0.356051,0.001998
0.8667,-0.310197,0.002710
0.8694,-0.248083,0.006491
0.8722,-0.144636,0.014234
0.8750,-0.116382,0.024452
0.8778,-0.130215,0.033344
0.8806,-0.128917,0.038238
0.8833,-0.101959,0.039343
0.8861,-0.111939,0.038823
0.8889,-0.119677,0.039708
0.8917,-0.107279,0.042720
0.8944,-0.105845,0.046820
0.8972,-0.108996,0.049939
0.9000,-0.100154,0.050835
0.9028,-0.077610,0.049498
0.9056,-0.094135,0.047752
0.9083,-0.099812,0.048965
0.9111,-0.077495,0.055378
0.9139,-0.074168,0.064983
0.9167,-0.083226,0.072580
0.9194,-0.079568,0.072867
0.9222,-0.060503,0.064061
0.9250,-0.070439,0.048451
0.9278,-0.083962,0.030683
0.9306,-0.085317,0.014980
0.9333,-0.068646,0.003286
0.9361,-0.059087,-0.004721
0.9389,-0.063777,-0.010412
0.9417,-0.077659,-0.015310
0.9444,-0.086676,-0.020317
0.9472,-0.104691,-0.025475
0.9500,-0.141923,-0.030626
0.9528,-0.157700,-0.034391
0.9556,-0.157544,-0.035518
0.9583,-0.182538,-0.034557
0.9611,-0.198203,-0.033545
0.9639,-0.196566,-0.034860
0.9667,-0.212319,-0.038754
0.9694,-0.228632,-0.042472
0.9722,-0.239720,-0.042155
0.9750,-0.237886,-0.036686
0.9778,-0.247971,-0.029145
0.9806,-0.252362,-0.023902
0.9833,-0.244167,-0.022577
0.9861,-0.240644,-0.023614
0.9889,-0.256687,-0.024393
0.9917,-0.256346,-0.023413
0.9944,-0.245381,-0.021376
0.9972,-0.235302,-0.019850
1.0000,-0.232219,-0.019411
1.0028,-0.224049,-0.019684
1.0056,-0.214728,-0.019718
1.0083,-0.233558,-0.018655
1.0111,-0.235838,-0.016199
1.0139,-0.206963,-0.012756
1.0167,-0.212292,-0.008880
1.0194,-0.224099,-0.005247
1.0222,-0.213346,-0.002507
1.0250,-0.200729,-0.000929
1.0278,-0.211865,-0.000583
1.0306,-0.212923,-0.001498
1.0333,-0.206281,-0.003326
1.0361,-0.196966,-0.005115
1.0389,-0.192823,-0.005435
1.0417,-0.199533,-0.002808
1.0444,-0.187755,0.002553
1.0472,-0.185947,0.008630
1.0500,-0.201629,0.013218
1.0528,-0.194935,0.015335
1.0556,-0.185090,0.015570
1.0583,-0.195721,0.015472
1.0611,-0.204750,0.016438
1.0639,-0.182430,0.018689
1.0667,-0.175581,0.021297
1.0694,-0.177877,0.023193
1.0722,-0.173259,0.023736
1.0750,-0.167105,0.023086
1.0778,-0.175872,0.021677
1.0806,-0.179717,0.020580
1.0833,-0.163941,0.020518
1.0861,-0.166321,0.021690
1.0889,-0.173231,0.023940
1.0917,-0.162841,0.026528
1.0944,-0.156885,0.028483
1.0972,-0.174895,0.028906
1.1000,-0.182696,0.027887
1.1028,-0.175201,0.026319
1.1056,-0.173401,0.025440
1.1083,-0.191026,0.026048
1.1111,-0.189615,0.027505
1.1139,-0.171700,0.028369
1.1167,-0.177740,0.027730
1.1194,-0.196463,0.026083
1.1222,-0.195887,0.025195
1.1250,-0.186422,0.026722
1.1278,-0.197118,0.030255
1.1306,-0.200576,0.033241
1.1333,-0.194394,0.033675
1.1361,-0.192633,0.031364
1.1389,-0.209398,0.028697
1.1417,-0.213861,0.027828
1.1444,-0.203075,0.028769
1.1472,-0.207339,0.029533
1.1500,-0.214569,0.028587
