Time_s,Raw_Preprocessed_Norm,Denoised_Norm
0.0000,-4.554926,-2.262764
0.0028,-5.559653,-2.260091
0.0056,-5.150089,-2.234617
0.0083,-5.420445,-2.192730
0.0111,-5.209099,-2.150785
0.0139,-5.389781,-2.105269
0.0167,-5.225955,-2.077031
0.0194,-5.381470,-2.066529
0.0222,-5.227415,-2.031728
0.0250,-5.387675,-1.954998
0.0278,-5.208295,-1.896707
0.0306,-5.443560,-1.782659
0.0333,-4.728576,-1.581190
0.0361,-4.337161,-1.310181
0.0389,-4.265838,-0.966908
0.0417,-4.259028,-0.580582
0.0444,-4.269279,-0.173645
0.0472,-4.350611,0.229245
0.0500,-4.214685,0.613257
0.0528,-4.281984,0.974442
0.0556,-4.227712,1.289487
0.0583,-4.371395,1.557231
0.0611,-4.331516,1.761356
0.0639,-4.596099,1.911308
0.0667,-4.457509,2.032941
0.0694,-4.536731,2.124348
0.0722,-2.460081,2.204704
0.0750,1.721540,2.314436
0.0778,1.262801,2.421724
0.0806,1.541896,2.542297
0.0833,1.368596,2.665900
0.0861,1.514625,2.800203
0.0889,1.417324,2.922289
0.0917,1.514027,3.045846
0.0944,1.452093,3.138864
0.0972,1.521586,3.208521
0.1000,1.480444,3.242318
0.1028,1.533888,3.265260
0.1056,1.505775,3.242724
0.1083,1.548513,3.127098
0.1111,1.525805,2.873265
0.1139,1.584191,2.480979
0.1167,1.803801,1.988958
0.1194,1.811509,1.452493
0.1222,1.852428,0.929574
0.1250,2.073213,0.492402
0.1278,3.347917,0.184445
0.1306,3.350663,-0.006925
0.1333,4.192853,-0.112049
0.1361,4.380280,-0.180914
0.1389,3.672774,-0.245243
0.1417,3.631694,-0.313587
0.1444,2.146591,-0.384108
0.1472,0.401145,-0.450692
0.1500,0.423412,-0.510351
0.1528,0.463939,-0.565184
0.1556,-0.110245,-0.606670
0.1583,-0.062473,-0.637330
0.1611,-0.124241,-0.657671
0.1639,-0.063526,-0.675340
0.1667,-0.118911,-0.683645
0.1694,-0.067980,-0.688907
0.1722,-0.115275,-0.690820
0.1750,-0.070989,-0.689701
0.1778,-0.112740,-0.674655
0.1806,-0.073160,-0.649114
0.1833,-0.110864,-0.621889
0.1861,-0.074813,-0.602639
0.1889,-0.109412,-0.597798
0.1917,-0.076118,-0.603787
0.1944,-0.108215,-0.617413
0.1972,-0.077277,-0.631150
0.2000,-0.105724,-0.636018
0.2028,-0.062167,-0.629567
0.2056,-0.076080,-0.615350
0.2083,-0.035025,-0.598006
0.2111,-0.048364,-0.579575
0.2139,-0.008219,-0.558205
0.2167,-0.020478,-0.536359
0.2194,0.018696,-0.514725
0.2222,0.007088,-0.496621
0.2250,0.045513,-0.481283
0.2278,0.034292,-0.466054
0.2306,0.072451,-0.446990
0.2333,0.060911,-0.421640
0.2361,0.100129,-0.389985
0.2389,0.084874,-0.354148
0.2417,0.140850,-0.317751
0.2444,0.449980,-0.282113
0.2472,0.491094,-0.248550
0.2500,0.481232,-0.215268
0.2528,0.513545,-0.184751
0.2556,0.505875,-0.158938
0.2583,0.537795,-0.139186
0.2611,0.530201,-0.124268
0.2639,0.561960,-0.110793
0.2667,0.554306,-0.093725
0.2694,0.586134,-0.069844
0.2722,0.578130,-0.039939
0.2750,0.610324,-0.008504
0.2778,0.601642,0.020010
0.2806,0.634698,0.041824
0.2833,0.624512,0.056345
0.2861,0.659705,0.067449
0.2889,0.645951,0.077460
0.2917,0.687433,0.087213
0.2944,0.658906,0.095640
0.2972,0.789217,0.101061
0.3000,0.862818,0.103999
0.3028,0.863996,0.106191
0.3056,0.875638,0.107626
0.3083,0.890245,0.107008
0.3111,0.895751,0.102067
0.3139,0.913705,0.093055
0.3167,0.917023,0.082780
0.3194,0.936306,0.073492
0.3222,0.938639,0.066107
0.3250,0.958487,0.060325
0.3278,0.960335,0.055144
0.3306,0.980360,0.047846
0.3333,0.982104,0.034861
0.3361,1.001956,0.015088
0.3389,1.003907,-0.007992
0.3417,1.023187,-0.029123
0.3444,1.026041,-0.041980
0.3472,1.043254,-0.044095
0.3500,1.052914,-0.040574
0.3528,1.114263,-0.038840
0.3556,1.112271,-0.044721
0.3583,1.133563,-0.058604
0.3611,1.134305,-0.075970
0.3639,1.153205,-0.092388
0.3667,1.156868,-0.105416
0.3694,1.170233,-0.115319
0.3722,1.193269,-0.122905
0.3750,1.291288,-0.129432
0.3778,1.279040,-0.135008
0.3806,1.306881,-0.140148
0.3833,1.300836,-0.145823
0.3861,1.325849,-0.152197
0.3889,1.321323,-0.158794
0.3917,1.345512,-0.164936
0.3944,1.348514,-0.170316
0.3972,1.371705,-0.174219
0.4000,1.368505,-0.176875
0.4028,1.391107,-0.179310
0.4056,1.388221,-0.180974
0.4083,1.410437,-0.182238
0.4111,1.407774,-0.182908
0.4139,1.429696,-0.182980
0.4167,1.427226,-0.184440
0.4194,1.448882,-0.186860
0.4222,1.446583,-0.188486
0.4250,1.467972,-0.187320
0.4278,1.465798,-0.182787
0.4306,1.486939,-0.174737
0.4333,1.484972,-0.165370
0.4361,1.505799,-0.157522
0.4389,1.504056,-0.152743
0.4417,1.524518,-0.150616
0.4444,1.523137,-0.149639
0.4472,1.542968,-0.148217
0.4500,1.542450,-0.146148
0.4528,1.560345,-0.144935
0.4556,1.574484,-0.144086
0.4583,1.602419,-0.140744
0.4611,1.597811,-0.134641
0.4639,1.619682,-0.124820
0.4667,1.616748,-0.113139
0.4694,1.637555,-0.101662
0.4722,1.635364,-0.089887
0.4750,1.655368,-0.077341
0.4778,1.654010,-0.064983
0.4806,1.672835,-0.055556
0.4833,1.673147,-0.051028
0.4861,1.688460,-0.050985
0.4889,1.704242,-0.051780
0.4917,1.745321,-0.049618
0.4944,1.737764,-0.044782
0.4972,1.759672,-0.039163
0.5000,1.788107,-0.033659
0.5028,1.817591,-0.026794
0.5056,1.810047,-0.018175
0.5083,1.833609,-0.008209
0.5111,1.827940,-0.000183
0.5139,1.850388,0.003764
0.5167,1.845449,0.007661
0.5194,1.867235,0.013573
0.5222,1.862750,0.019020
0.5250,1.884049,0.018753
0.5278,1.879963,0.011551
0.5306,1.900778,0.004685
0.5333,1.897118,0.009932
0.5361,1.917364,0.033027
0.5389,1.914276,0.066931
0.5417,1.933743,0.097199
0.5444,1.931506,0.112130
0.5472,1.949750,0.111156
0.5500,1.949111,0.103945
0.5528,1.964862,0.100412
0.5556,1.968367,0.106290
0.5583,1.974957,0.121936
0.5611,2.027660,0.145198
0.5639,2.098024,0.170757
0.5667,2.078153,0.192639
0.5694,2.107589,0.209752
0.5722,2.097058,0.226218
0.5750,2.120916,0.248022
0.5778,2.126983,0.276495
0.5806,2.154643,0.306733
0.5833,2.147166,0.330093
0.5861,2.199796,0.344146
0.5889,2.224523,0.351993
0.5917,2.277159,0.358912
0.5944,2.264155,0.368827
0.5972,2.284694,0.380887
