Time_s,Raw_Preprocessed_Norm,Denoised_Norm
0.0000,-0.220123,0.003182
0.0028,0.623301,0.003408
0.0056,0.575388,0.003855
0.0083,-0.608255,0.006895
0.0111,-0.002782,0.010031
0.0139,0.890499,0.013127
0.0167,-0.095963,0.015256
0.0194,-0.713382,0.015018
0.0222,0.586051,0.015981
0.0250,0.647396,0.018826
0.0278,-0.575925,0.022079
0.0306,-0.297833,0.023613
0.0333,0.932604,0.025207
0.0361,0.071765,0.028656
0.0389,-0.699704,0.033217
0.0417,0.275088,0.037842
0.0444,0.887214,0.039745
0.0472,-0.611904,0.038967
0.0500,-0.336804,0.038371
0.0528,0.464665,0.039875
0.0556,0.739280,0.042897
0.0583,0.012996,0.047064
0.0611,-0.737221,0.052074
0.0639,0.607656,0.055665
0.0667,0.630669,0.057275
0.0694,-0.299415,0.059968
0.0722,-0.225268,0.064147
0.0750,0.866459,0.067656
0.0778,0.275416,0.070457
0.0806,-0.406398,0.072984
0.0833,0.248531,0.075633
0.0861,0.812600,0.078963
0.0889,-0.181678,0.081653
0.0917,-0.263297,0.083300
0.0944,0.658122,0.084752
0.0972,0.499399,0.085902
0.1000,-0.459057,0.087269
0.1028,0.146957,0.091067
0.1056,0.771048,0.095774
0.1083,0.118847,0.098807
0.1111,-0.352323,0.100682
0.1139,0.561114,0.103358
0.1167,0.610092,0.105912
0.1194,-0.240307,0.107357
0.1222,-0.059200,0.108480
0.1250,0.771826,0.110980
0.1278,0.266763,0.114287
0.1306,-0.280343,0.118059
0.1333,0.344936,0.121356
0.1361,0.784976,0.123194
0.1389,-0.071276,0.123921
0.1417,-0.087881,0.124532
0.1444,0.636087,0.125394
0.1472,0.528618,0.127015
0.1500,-0.291552,0.128831
0.1528,0.291013,0.129549
0.1556,0.531749,0.129554
0.1583,-0.214061,0.128645
0.1611,0.376205,0.126444
0.1639,0.721760,0.123997
0.1667,0.127655,0.122205
0.1694,-0.075872,0.120959
0.1722,0.645511,0.120101
0.1750,0.554778,0.119225
0.1778,-0.100054,0.117339
0.1806,0.196929,0.114613
0.1833,0.744573,0.110981
0.1861,0.250985,0.106173
0.1889,-0.132042,0.100489
0.1917,0.600774,0.094451
0.1944,0.635145,0.088997
0.1972,-0.234193,0.084606
0.2000,0.140436,0.080249
0.2028,0.731427,0.075590
0.2056,0.283891,0.070206
0.2083,-0.235444,0.064398
0.2111,0.453340,0.059250
0.2139,0.682420,0.055538
0.2167,-0.085784,0.053003
0.2194,-0.054427,0.050969
0.2222,0.734139,0.049354
0.2250,0.327930,0.047772
0.2278,-0.327861,0.045795
0.2306,0.319062,0.043600
0.2333,0.725674,0.041593
0.2361,-0.131049,0.039842
0.2389,-0.203405,0.038352
0.2417,0.666791,0.037004
0.2444,0.419064,0.035515
0.2472,-0.368002,0.033939
0.2500,0.184137,0.031439
0.2528,0.767482,0.028398
0.2556,0.034188,0.026239
0.2583,-0.278299,0.024840
0.2611,0.565631,0.023628
0.2639,0.552259,0.022510
0.2667,-0.313131,0.021546
0.2694,0.033770,0.020383
0.2722,0.770977,0.018282
0.2750,0.178202,0.015312
0.2778,-0.366638,0.012009
0.2806,0.452404,0.009086
0.2833,0.673566,0.006551
0.2861,-0.239433,0.004244
0.2889,-0.134440,0.001995
0.2917,0.760250,-0.000478
0.2944,0.233389,-0.003597
0.2972,-0.513896,-0.006777
0.3000,0.315407,-0.009832
0.3028,0.741284,-0.012868
0.3056,-0.195467,-0.015256
0.3083,-0.305611,-0.016756
0.3111,0.705424,-0.017910
0.3139,0.408239,-0.018795
0.3167,-0.491921,-0.020148
0.3194,0.124945,-0.021961
0.3222,0.799467,-0.023518
0.3250,-0.123161,-0.024450
0.3278,-0.458637,-0.025091
0.3306,0.612641,-0.025247
0.3333,0.561459,-0.024707
0.3361,-0.508606,-0.023956
0.3389,-0.058551,-0.024208
0.3417,0.829442,-0.024970
0.3444,0.082275,-0.025669
0.3472,-0.523042,-0.026451
0.3500,0.429023,-0.027086
0.3528,0.664646,-0.027178
0.3556,-0.427976,-0.026469
0.3583,-0.246764,-0.025343
0.3611,0.764560,-0.025110
0.3639,0.232519,-0.025233
0.3667,-0.584363,-0.025436
