Time_s,Raw_Preprocessed_Norm,Denoised_Norm
0.0000,0.610539,1.181967
0.0028,1.353496,1.236323
0.0056,1.481651,1.282120
0.0083,1.277037,1.322201
0.0111,1.231969,1.350195
0.0139,1.293321,1.361912
0.0167,1.268922,1.351430
0.0194,1.230681,1.322341
0.0222,1.253521,1.281778
0.0250,1.273909,1.229235
0.0278,1.265540,1.191006
0.0306,1.261452,1.117406
0.0333,1.260163,1.015067
0.0361,1.250070,0.894448
0.0389,1.239841,0.736272
0.0417,1.225517,0.538782
0.0444,1.207159,0.297208
0.0472,1.209375,0.043441
0.0500,1.223105,-0.185828
0.0528,1.210423,-0.348257
0.0556,1.196808,-0.428095
0.0583,1.213647,-0.442946
0.0611,1.183092,-0.425581
0.0639,1.071646,-0.407408
0.0667,1.001452,-0.401376
0.0694,0.936324,-0.407066
0.0722,0.593430,-0.413175
0.0750,-0.018734,-0.418583
0.0778,-0.458055,-0.423245
0.0806,-0.507256,-0.434920
0.0833,-0.425775,-0.456873
0.0861,-0.422886,-0.479059
0.0889,-0.425992,-0.485046
0.0917,-0.389465,-0.466470
0.0944,-0.388855,-0.422275
0.0972,-0.426884,-0.373233
0.1000,-0.428020,-0.343996
0.1028,-0.394890,-0.351439
0.1056,-0.396160,-0.389750
0.1083,-0.421701,-0.441134
0.1111,-0.408212,-0.486787
0.1139,-0.400898,-0.522922
0.1167,-0.470381,-0.548393
0.1194,-0.481466,-0.564319
0.1222,-0.266253,-0.565599
0.1250,0.012918,-0.551134
0.1278,0.061249,-0.526058
0.1306,-0.099431,-0.504089
0.1333,-0.261611,-0.495614
0.1361,-0.400245,-0.497229
0.1389,-0.572360,-0.494008
0.1417,-0.706207,-0.470932
0.1444,-0.740019,-0.427199
0.1472,-0.739784,-0.377423
0.1500,-0.752538,-0.337736
0.1528,-0.735053,-0.315321
0.1556,-0.672771,-0.303754
0.1583,-0.627071,-0.291654
0.1611,-0.636764,-0.272429
0.1639,-0.647800,-0.249302
0.1667,-0.585164,-0.230526
0.1694,-0.470781,-0.224049
0.1722,-0.394989,-0.229514
0.1750,-0.377163,-0.238808
0.1778,-0.357663,-0.243936
0.1806,-0.316335,-0.241447
0.1833,-0.289555,-0.234123
0.1861,-0.289352,-0.229541
0.1889,-0.291826,-0.232786
0.1917,-0.285184,-0.244934
0.1944,-0.280996,-0.257786
0.1972,-0.291322,-0.261272
0.2000,-0.311841,-0.251992
0.2028,-0.326809,-0.236673
0.2056,-0.329385,-0.228192
0.2083,-0.327275,-0.235145
0.2111,-0.327755,-0.255334
0.2139,-0.333017,-0.273802
0.2167,-0.346821,-0.274616
0.2194,-0.366414,-0.256441
0.2222,-0.373383,-0.231286
0.2250,-0.353257,-0.213299
0.2278,-0.316961,-0.207385
0.2306,-0.284979,-0.209268
0.2333,-0.269007,-0.213502
0.2361,-0.280583,-0.218358
0.2389,-0.312090,-0.223147
0.2417,-0.305630,-0.225256
0.2444,-0.218472,-0.221993
0.2472,-0.110664,-0.213237
0.2500,-0.069137,-0.203056
0.2528,-0.078203,-0.196915
0.2556,-0.073006,-0.197332
0.2583,-0.061318,-0.200976
0.2611,-0.083949,-0.201803
0.2639,-0.122540,-0.196312
0.2667,-0.137270,-0.185705
0.2694,-0.133700,-0.174803
0.2722,-0.133928,-0.165873
0.2750,-0.137430,-0.155766
0.2778,-0.141720,-0.141347
0.2806,-0.155616,-0.124252
0.2833,-0.176645,-0.110186
0.2861,-0.187566,-0.104393
0.2889,-0.182069,-0.107382
0.2917,-0.172754,-0.114575
0.2944,-0.169806,-0.119127
0.2972,-0.168038,-0.115800
0.3000,-0.159646,-0.103026
0.3028,-0.145760,-0.082977
0.3056,-0.131424,-0.061107
0.3083,-0.121008,-0.043934
0.3111,-0.118413,-0.036429
0.3139,-0.122969,-0.039291
0.3167,-0.128824,-0.047264
0.3194,-0.130853,-0.052246
0.3222,-0.125842,-0.048613
0.3250,-0.112475,-0.037772
0.3278,-0.094878,-0.025625
0.3306,-0.079848,-0.017026
0.3333,-0.070572,-0.013626
0.3361,-0.067293,-0.013336
0.3389,-0.069548,-0.012696
0.3417,-0.074540,-0.010300
0.3444,-0.076032,-0.007492
0.3472,-0.068297,-0.006032
0.3500,-0.054165,-0.006417
0.3528,-0.044173,-0.007222
0.3556,-0.042589,-0.006503
0.3583,-0.044055,-0.004055
0.3611,-0.046401,-0.002284
0.3639,-0.051194,-0.005105
0.3667,-0.053948,-0.013334
0.3694,-0.051192,-0.023468
0.3722,-0.050979,-0.027512
0.3750,-0.061455,-0.015652
0.3778,-0.076054,0.012528
0.3806,-0.082470,0.046498
0.3833,-0.082639,0.070833
0.3861,-0.090406,0.075595
0.3889,-0.107532,0.064934
0.3917,-0.119732,0.052073
0.3944,-0.121692,0.048785
0.3972,-0.121384,0.057753
0.4000,-0.114330,0.074110
0.4028,-0.086373,0.090638
0.4056,-0.047795,0.103855
0.4083,-0.028619,0.114789
0.4111,-0.035487,0.126575
0.4139,-0.046446,0.142480
0.4167,-0.046581,0.163261
0.4194,-0.038644,0.182582
0.4222,-0.026439,0.187859
0.4250,-0.012121,0.171961
0.4278,0.000325,0.144634
0.4306,0.010634,0.129604
0.4333,0.021962,0.149021
0.4361,0.038033,0.202698
0.4389,0.059778,0.263061
0.4417,0.072062,0.293114
0.4444,0.061590,0.274787
0.4472,0.055098,0.223418
0.4500,0.063782,0.172460
0.4528,0.023859,0.146442
0.4556,-0.054295,0.143068
0.4583,0.011599,0.146188
0.4611,0.281749,0.146004
0.4639,0.492896,0.146074
0.4667,0.430809,0.154462
0.4694,0.243446,0.170646
0.4722,0.142745,0.185141
0.4750,0.107940,0.188768
0.4778,0.059696,0.180755
0.4806,0.027857,0.168197
0.4833,0.037191,0.156669
0.4861,0.047556,0.146887
0.4889,0.045852,0.135514
0.4917,0.057922,0.122903
0.4944,0.079863,0.114592
0.4972,0.085248,0.113912
0.5000,0.076421,0.117498
0.5028,0.073121,0.113822
0.5056,0.073037,0.094819
0.5083,0.063632,0.066310
0.5111,0.053395,0.045346
0.5139,0.056593,0.045746
0.5167,0.064968,0.062321
0.5194,0.064548,0.073464
0.5222,0.060348,0.058736
0.5250,0.060995,0.020748
0.5278,0.059945,-0.018011
0.5306,0.047544,-0.039195
0.5333,0.026792,-0.047707
0.5361,0.010858,-0.066012
0.5389,0.009939,-0.112560
0.5417,0.019281,-0.180352
0.5444,0.018924,-0.240151
0.5472,-0.012584,-0.266551
0.5500,-0.072824,-0.255934
0.5528,-0.118706,-0.225655
0.5556,-0.110902,-0.195676
0.5583,-0.089328,-0.174113
0.5611,-0.133779,-0.157904
0.5639,-0.231206,-0.140484
0.5667,-0.285705,-0.120721
0.5694,-0.271246,-0.101776
0.5722,-0.250997,-0.088661
0.5750,-0.249931,-0.084043
0.5778,-0.232597,-0.087107
0.5806,-0.192679,-0.092909
0.5833,-0.163506,-0.097526
0.5861,-0.155397,-0.096127
0.5889,-0.146585,-0.086804
0.5917,-0.123672,-0.070526
0.5944,-0.098466,-0.048724
0.5972,-0.088256,-0.024437
0.6000,-0.091387,-0.002305
0.6028,-0.090367,0.013991
0.6056,-0.078882,0.021062
0.6083,-0.068418,0.021552
0.6111,-0.062939,0.020144
0.6139,-0.050169,0.019566
0.6167,-0.025704,0.018097
0.6194,-0.001186,0.014178
0.6222,0.017163,0.010663
0.6250,0.033037,0.011630
0.6278,0.042579,0.020477
0.6306,0.039566,0.033985
0.6333,0.034445,0.044054
0.6361,0.040490,0.044191
0.6389,0.048901,0.035122
0.6417,0.044671,0.023518
0.6444,0.034644,0.016549
0.6472,0.034009,0.017536
0.6500,0.040341,0.025479
0.6528,0.043643,0.037412
0.6556,0.044885,0.049893
0.6583,0.045548,0.058488
0.6611,0.037820,0.059013
0.6639,0.022095,0.050905
0.6667,0.013945,0.040369
0.6694,0.019436,0.037344
0.6722,0.025632,0.049412
0.6750,0.026508,0.073985
0.6778,0.033061,0.099579
0.6806,0.047797,0.112737
0.6833,0.054981,0.108229
0.6861,0.047112,0.093132
0.6889,0.039096,0.082609
0.6917,0.045935,0.086247
0.6944,0.063385,0.102109
0.6972,0.080580,0.114824
0.7000,0.097550,0.111564
0.7028,0.115762,0.089558
0.7056,0.123958,0.061641
0.7083,0.114773,0.043951
0.7111,0.103405,0.045456
0.7139,0.106911,0.062220
0.7167,0.119536,0.083435
0.7194,0.125422,0.098592
0.7222,0.117418,0.104794
0.7250,0.097725,0.104593
0.7278,0.078710,0.100682
0.7306,0.075522,0.094253
0.7333,0.084852,0.089068
0.7361,0.091184,0.092470
0.7389,0.096536,0.113780
0.7417,0.112073,0.157797
0.7444,0.127092,0.218557
0.7472,0.125714,0.283893
0.7500,0.121522,0.339159
0.7528,0.134836,0.373049
0.7556,0.153441,0.374879
0.7583,0.157184,0.342285
0.7611,0.162233,0.287949
0.7639,0.198171,0.240765
0.7667,0.257858,0.229395
0.7694,0.312149,0.260173
0.7722,0.353609,0.308337
0.7750,0.382243,0.334740
0.7778,0.384492,0.309375
0.7806,0.367626,0.232034
0.7833,0.351682,0.127503
0.7861,0.315273,0.031692
0.7889,0.260113,-0.033619
0.7917,0.281767,-0.062675
0.7944,0.406587,-0.066201
0.7972,0.473882,-0.054434
0.8000,0.375974,-0.034645
0.8028,0.232822,-0.010621
0.8056,0.157589,0.008706
0.8083,0.088996,0.012293
0.8111,-0.016404,-0.009568
0.8139,-0.076800,-0.051097
0.8167,-0.054111,-0.093597
0.8194,-0.024767,-0.114057
0.8222,-0.040537,-0.103860
0.8250,-0.062060,-0.075910
0.8278,-0.046373,-0.057521
0.8306,-0.013107,-0.066481
0.8333,-0.010780,-0.097509
0.8361,-0.053137,-0.127451
0.8389,-0.103143,-0.137760
0.8417,-0.118229,-0.129086
0.8444,-0.096023,-0.116881
0.8472,-0.068049,-0.112563
0.8500,-0.066326,-0.112757
0.8528,-0.097351,-0.108023
0.8556,-0.134964,-0.098443
0.8583,-0.149088,-0.091550
0.8611,-0.142026,-0.093833
0.8639,-0.135370,-0.102367
0.8667,-0.134000,-0.107586
0.8694,-0.129570,-0.103804
0.8722,-0.122216,-0.093298
0.8750,-0.114868,-0.077440
0.8778,-0.102395,-0.052780
0.8806,-0.083400,-0.017111
0.8833,-0.066750,0.020071
0.8861,-0.056053,0.038621
0.8889,-0.044099,0.021346
0.8917,-0.025521,-0.028729
0.8944,-0.000025,-0.085993
0.8972,0.027780,-0.121090
0.9000,0.044798,-0.123881
0.9028,0.051649,-0.108240
0.9056,0.074508,-0.096630
0.9083,0.107778,-0.100175
0.9111,0.089749,-0.111968
0.9139,0.001081,-0.117781
0.9167,-0.082600,-0.110999
0.9194,-0.100469,-0.094845
0.9222,-0.084861,-0.076805
0.9250,-0.085919,-0.062102
0.9278,-0.102138,-0.051672
0.9306,-0.112849,-0.044750
0.9333,-0.115171,-0.043117
0.9361,-0.111314,-0.048261
0.9389,-0.097075,-0.057408
0.9417,-0.074160,-0.063970
0.9444,-0.052466,-0.062656
0.9472,-0.034961,-0.054066
0.9500,-0.019141,-0.043179
0.9528,-0.010778,-0.034848
0.9556,-0.014121,-0.029780
0.9583,-0.018848,-0.026452
0.9611,-0.016594,-0.025147
0.9639,-0.012602,-0.026763
0.9667,-0.009827,-0.030136
0.9694,-0.003046,-0.031551
0.9722,0.009284,-0.027005
0.9750,0.023603,-0.017341
0.9778,0.035800,-0.008823
0.9806,0.042056,-0.008283
0.9833,0.045017,-0.016161
0.9861,0.052610,-0.025185
0.9889,0.062536,-0.027890
0.9917,0.066115,-0.024764
0.9944,0.071065,-0.026227
0.9972,0.090059,-0.042239
1.0000,0.107549,-0.068873
1.0028,0.098489,-0.089969
1.0056,0.074840,-0.092757
1.0083,0.067803,-0.079054
1.0111,0.074508,-0.062369
1.0139,0.068983,-0.054916
1.0167,0.049413,-0.055946
1.0194,0.029726,-0.055782
1.0222,0.007520,-0.050240
1.0250,-0.017273,-0.046686
1.0278,-0.021466,-0.055981
1.0306,0.004610,-0.078313
1.0333,0.032474,-0.100826
1.0361,0.038783,-0.108717
1.0389,0.039331,-0.100364
1.0417,0.057828,-0.087704
1.0444,0.089657,-0.080913
1.0472,0.110430,-0.080618
1.0500,0.105220,-0.084196
1.0528,0.086431,-0.094958
1.0556,0.083087,-0.121567
1.0583,0.105834,-0.165597
1.0611,0.134538,-0.208887
1.0639,0.150563,-0.219359
1.0667,0.159360,-0.175191
1.0694,0.171517,-0.084482
1.0722,0.184879,0.015893
1.0750,0.187037,0.086250
1.0778,0.161215,0.111931
1.0806,0.111246,0.108550
1.0833,0.090365,0.106059
1.0861,0.161967,0.122614
1.0889,0.322032,0.151654
1.0917,0.500315,0.164982
1.0944,0.630598,0.134621
1.0972,0.693088,0.052871
1.1000,0.711464,-0.053876
1.1028,0.719078,-0.142479
1.1056,0.722567,-0.180564
1.1083,0.723305,-0.164736
1.1111,0.740386,-0.119345
1.1139,0.749295,-0.078326
1.1167,0.671930,-0.063731
1.1194,0.505236,-0.076493
1.1222,0.358421,-0.099307
1.1250,0.302515,-0.111949
1.1278,0.296640,-0.102075
1.1306,0.290687,-0.075744
1.1333,0.289276,-0.053384
1.1361,0.302209,-0.054750
1.1389,0.312514,-0.081950
1.1417,0.303660,-0.118418
1.1444,0.284259,-0.140377
1.1472,0.278214,-0.136201
1.1500,0.295747,-0.114236
1.1528,0.321688,-0.094248
1.1556,0.329058,-0.089928
1.1583,0.298268,-0.096864
1.1611,0.240855,-0.099985
1.1639,0.201491,-0.087301
1.1667,0.205088,-0.061056
1.1694,0.221405,-0.034116
1.1722,0.216807,-0.017267
1.1750,0.204259,-0.011919
1.1778,0.208318,-0.015589
1.1806,0.222702,-0.025040
1.1833,0.233842,-0.038558
1.1861,0.250880,-0.053070
1.1889,0.285246,-0.062308
1.1917,0.325052,-0.058416
1.1944,0.350029,-0.038423
1.1972,0.357330,-0.006667
1.2000,0.359747,0.022988
1.2028,0.366189,0.037055
1.2056,0.373860,0.031065
1.2083,0.378450,0.010867
1.2111,0.382670,-0.011687
1.2139,0.393212,-0.027315
1.2167,0.416445,-0.033740
1.2194,0.450734,-0.034304
1.2222,0.475036,-0.033953
1.2250,0.464772,-0.034665
1.2278,0.429545,-0.032856
1.2306,0.405479,-0.026173
1.2333,0.401903,-0.017944
1.2361,0.392723,-0.018429
1.2389,0.366521,-0.034774
1.2417,0.345425,-0.063306
1.2444,0.344208,-0.088938
1.2472,0.342987,-0.096928
1.2500,0.319344,-0.084210
1.2528,0.288537,-0.061792
1.2556,0.280111,-0.040046
1.2583,0.280202,-0.023432
1.2611,0.245941,-0.009358
1.2639,0.182849,0.000296
1.2667,0.146623,-0.000501
1.2694,0.158947,-0.016270
1.2722,0.181994,-0.040771
1.2750,0.178883,-0.060885
1.2778,0.153114,-0.065926
1.2806,0.132842,-0.056644
1.2833,0.134429,-0.041609
1.2861,0.133807,-0.028070
1.2889,0.091004,-0.016833
1.2917,0.013371,-0.004580
1.2944,-0.046915,0.010497
1.2972,-0.064712,0.026216
1.3000,-0.061964,0.039051
1.3028,-0.059966,0.049761
1.3056,-0.056990,0.060937
1.3083,-0.044321,0.072754
1.3111,-0.017571,0.083791
1.3139,0.016161,0.091849
1.3167,0.039610,0.096930
1.3194,0.049839,0.102796
1.3222,0.066316,0.111822
1.3250,0.095856,0.124823
1.3278,0.116999,0.139045
1.3306,0.119733,0.151675
1.3333,0.123879,0.160838
1.3361,0.137356,0.170072
1.3389,0.141191,0.182489
1.3417,0.135622,0.197463
1.3444,0.149207,0.211644
1.3472,0.182590,0.225549
1.3500,0.197623,0.237745
1.3528,0.182054,0.248012
1.3556,0.173677,0.256664
1.3583,0.201291,0.264499
1.3611,0.245213,0.275843
1.3639,0.274714,0.290710
1.3667,0.289492,0.315334
1.3694,0.302360,0.343736
1.3722,0.312351,0.371185
1.3750,0.327255,0.388664
1.3778,0.369992,0.394086
1.3806,0.414991,0.383644
1.3833,0.406007,0.364935
1.3861,0.402015,0.343681
1.3889,0.535596,0.328183
1.3917,0.760316,0.320493
1.3944,0.899394,0.321391
1.3972,0.947509,0.324378
1.4000,0.981580,0.325170
1.4028,0.895528,0.321547
1.4056,0.623234,0.314080
1.4083,0.395079,0.305347
1.4111,0.403920,0.298360
1.4139,0.501176,0.293230
1.4167,0.486174,0.283833
1.4194,0.398478,0.271047
1.4222,0.357448,0.253012
1.4250,0.363946,0.237485
1.4278,0.365486,0.227563
1.4306,0.353240,0.221719
1.4333,0.340011,0.217272
1.4361,0.330241,0.210971
1.4389,0.326153,0.200973
1.4417,0.323129,0.186889
1.4444,0.311298,0.171002
1.4472,0.297723,0.151025
1.4500,0.301184,0.136051
1.4528,0.317925,0.132157
1.4556,0.321583,0.142191
1.4583,0.302838,0.160238
1.4611,0.280977,0.179428
1.4639,0.269775,0.193502
1.4667,0.261176,0.207214
1.4694,0.249966,0.225573
1.4722,0.244533,0.251602
1.4750,0.247965,0.290309
1.4778,0.254772,0.335290
1.4806,0.263133,0.382002
1.4833,0.270312,0.431495
1.4861,0.270461,0.474497
1.4889,0.268794,0.514841
1.4917,0.273638,0.562101
1.4944,0.276993,0.624821
1.4972,0.273874,0.708976
1.5000,0.273209,0.785566
1.5028,0.262348,0.806941
1.5056,0.231834,0.707660
1.5083,0.235242,0.441616
1.5111,0.288209,-0.021394
1.5139,0.286042,-0.654526
1.5167,0.235085,-1.384575
1.5194,0.306721,-2.098934
1.5222,0.392688,-2.676026
1.5250,0.223726,-3.027244
1.5278,0.151915,-3.164107
1.5306,0.576298,-3.179372
1.5333,0.535851,-3.155167
1.5361,-1.124131,-3.130752
1.5389,-3.382720,-3.109794
1.5417,-4.290943,-3.093415
1.5444,-3.918876,-3.077157
1.5472,-3.642460,-3.062159
1.5500,-3.710330,-3.038095
1.5528,-3.595734,-2.994592
1.5556,-3.387761,-2.926125
1.5583,-3.379121,-2.845063
1.5611,-3.413650,-2.764186
1.5639,-3.343830,-2.696054
1.5667,-3.294270,-2.636796
1.5694,-3.299541,-2.583472
1.5722,-3.246573,-2.538074
1.5750,-3.109600,-2.502365
1.5778,-2.938808,-2.471931
1.5806,-2.769174,-2.449206
1.5833,-2.656580,-2.433258
1.5861,-2.648664,-2.418142
1.5889,-2.701985,-2.400000
1.5917,-2.734302,-2.375140
1.5944,-2.720783,-2.345427
1.5972,-2.672192,-2.315723
1.6000,-2.600265,-2.286613
1.6028,-2.574935,-2.244736
1.6056,-2.697378,-2.182939
1.6083,-2.927131,-2.109982
1.6111,-3.090342,-2.045616
1.6139,-3.138218,-1.994954
1.6167,-3.182353,-1.945374
1.6194,-3.213359,-1.882966
1.6222,-3.062099,-1.806359
1.6250,-2.714829,-1.725162
1.6278,-2.395083,-1.645265
1.6306,-2.254354,-1.565002
1.6333,-2.202464,-1.478029
1.6361,-2.108989,-1.376630
1.6389,-1.995623,-1.260100
1.6417,-1.943657,-1.131923
1.6444,-1.932654,-0.986623
1.6472,-1.899594,-0.819678
1.6500,-1.879285,-0.638827
1.6528,-1.903239,-0.461045
1.6556,-1.865018,-0.301920
1.6583,-1.752064,-0.166328
1.6611,-1.771615,-0.052848
1.6639,-1.857533,0.043427
1.6667,-1.513078,0.126414
1.6694,-0.660559,0.199291
