Time_s,Raw_Preprocessed_Norm,Denoised_Norm
0.0000,-0.087739,-0.063394
0.0028,-0.210702,-0.064835
0.0056,-0.230495,-0.066703
0.0083,-0.187598,-0.066778
0.0111,-0.171990,-0.064186
0.0139,-0.194506,-0.060069
0.0167,-0.216926,-0.057452
0.0194,-0.221309,-0.057317
0.0222,-0.214720,-0.058149
0.0250,-0.208253,-0.059007
0.0278,-0.201435,-0.057532
0.0306,-0.186943,-0.054614
0.0333,-0.173779,-0.053484
0.0361,-0.180551,-0.055625
0.0389,-0.200174,-0.058571
0.0417,-0.206529,-0.058685
0.0444,-0.196998,-0.052760
0.0472,-0.191571,-0.042170
0.0500,-0.196965,-0.030899
0.0528,-0.204591,-0.022346
0.0556,-0.210825,-0.017389
0.0583,-0.216330,-0.012988
0.0611,-0.219508,-0.007277
0.0639,-0.220246,-0.001361
0.0667,-0.220045,0.000745
0.0694,-0.217659,-0.004641
0.0722,-0.208810,-0.016481
0.0750,-0.192370,-0.028531
0.0778,-0.176737,-0.034522
0.0806,-0.170098,-0.031830
0.0833,-0.166068,-0.024885
0.0861,-0.155736,-0.019494
0.0889,-0.144854,-0.018565
0.0917,-0.140779,-0.020570
0.0944,-0.140317,-0.021579
0.0972,-0.145269,-0.020522
0.1000,-0.164208,-0.019927
0.1028,-0.188210,-0.023458
0.1056,-0.194793,-0.031934
0.1083,-0.182905,-0.041625
0.1111,-0.174217,-0.046714
0.1139,-0.177829,-0.044800
0.1167,-0.182550,-0.037172
0.1194,-0.181774,-0.028098
0.1222,-0.179199,-0.021433
0.1250,-0.175883,-0.018498
0.1278,-0.173349,-0.018951
0.1306,-0.177661,-0.021877
0.1333,-0.186937,-0.026808
0.1361,-0.192601,-0.032738
0.1389,-0.193914,-0.037306
0.1417,-0.190588,-0.038247
0.1444,-0.175230,-0.034921
0.1472,-0.153307,-0.030372
0.1500,-0.144988,-0.027915
0.1528,-0.152229,-0.028845
0.1556,-0.156305,-0.031927
0.1583,-0.154278,-0.033843
0.1611,-0.159983,-0.032691
0.1639,-0.170190,-0.029023
0.1667,-0.169708,-0.024371
0.1694,-0.161424,-0.020910
0.1722,-0.157466,-0.020058
0.1750,-0.159430,-0.022664
0.1778,-0.167607,-0.028330
0.1806,-0.181245,-0.033529
0.1833,-0.186767,-0.034207
0.1861,-0.176910,-0.029159
0.1889,-0.167504,-0.020517
0.1917,-0.169642,-0.013084
0.1944,-0.170317,-0.010446
0.1972,-0.159224,-0.012633
0.2000,-0.149785,-0.017462
0.2028,-0.158082,-0.021988
