Time_s,Raw_Preprocessed_Norm,Denoised_Norm
0.0000,0.248987,0.220872
0.0028,0.618618,0.221084
0.0056,0.695384,0.218776
0.0083,0.616412,0.212442
0.0111,0.614396,0.202411
0.0139,0.653100,0.189886
0.0167,0.631808,0.178889
0.0194,0.590952,0.172015
0.0222,0.582463,0.168657
0.0250,0.582884,0.165937
0.0278,0.573757,0.157373
0.0306,0.567777,0.141521
0.0333,0.566539,0.126660
0.0361,0.561055,0.117666
0.0389,0.551885,0.114553
0.0417,0.544190,0.107973
0.0444,0.542387,0.082045
0.0472,0.550273,0.031441
0.0500,0.560798,-0.031609
0.0528,0.558330,-0.084351
0.0556,0.545882,-0.111146
0.0583,0.546297,-0.116188
0.0611,0.558912,-0.116885
0.0639,0.556066,-0.124023
0.0667,0.544865,-0.134926
0.0694,0.560774,-0.139830
0.0722,0.569476,-0.133583
0.0750,0.486399,-0.125537
0.0778,0.333715,-0.125660
0.0806,0.239626,-0.134021
0.0833,0.248612,-0.139043
0.0861,0.277220,-0.128775
0.0889,0.266646,-0.107356
0.0917,0.242878,-0.090234
0.0944,0.233780,-0.087865
0.0972,0.232772,-0.098477
0.1000,0.233252,-0.106123
0.1028,0.237234,-0.100549
0.1056,0.242478,-0.084904
0.1083,0.246782,-0.073675
0.1111,0.251642,-0.078568
0.1139,0.255256,-0.096338
0.1167,0.254127,-0.105915
0.1194,0.249934,-0.089258
0.1222,0.245872,-0.044528
0.1250,0.242954,0.009070
0.1278,0.243401,0.044295
0.1306,0.244765,0.045096
0.1333,0.238818,0.016467
0.1361,0.234824,-0.022483
0.1389,0.248819,-0.052535
0.1417,0.251752,-0.067961
0.1444,0.214744,-0.074505
0.1472,0.214386,-0.080688
0.1500,0.339558,-0.085963
0.1528,0.502119,-0.082698
0.1556,0.537329,-0.066530
0.1583,0.449414,-0.041995
0.1611,0.361209,-0.022291
0.1639,0.308879,-0.019874
0.1667,0.255305,-0.035671
0.1694,0.202474,-0.059823
0.1722,0.170097,-0.076621
0.1750,0.146994,-0.077166
0.1778,0.122499,-0.065184
0.1806,0.104548,-0.049100
0.1833,0.095388,-0.035623
0.1861,0.092980,-0.026019
0.1889,0.096904,-0.018194
0.1917,0.088120,-0.011464
0.1944,0.047051,-0.006898
0.1972,-0.001123,-0.005551
0.2000,-0.016034,-0.006266
0.2028,-0.004636,-0.006162
0.2056,0.000184,-0.003156
0.2083,-0.006420,0.001597
0.2111,-0.011673,0.005055
0.2139,-0.014681,0.005335
0.2167,-0.019021,0.003598
0.2194,-0.022868,0.002567
0.2222,-0.025594,0.003511
0.2250,-0.028454,0.005952
0.2278,-0.030741,0.007344
0.2306,-0.031665,0.006004
0.2333,-0.031484,0.003717
0.2361,-0.030996,0.003416
0.2389,-0.031615,0.006623
0.2417,-0.032546,0.011686
0.2444,-0.031218,0.014787
0.2472,-0.029051,0.013733
0.2500,-0.029015,0.009171
0.2528,-0.028667,0.003920
0.2556,-0.025818,0.000916
0.2583,-0.025041,0.001325
0.2611,-0.028004,0.003877
0.2639,-0.027134,0.006497
0.2667,-0.018594,0.007670
0.2694,-0.010516,0.007263
0.2722,-0.010298,0.005869
0.2750,-0.014452,0.004291
0.2778,-0.017336,0.002510
0.2806,-0.019807,0.000225
0.2833,-0.023579,-0.001469
0.2861,-0.025456,-0.000459
0.2889,-0.022903,0.004035
0.2917,-0.019867,0.009773
0.2944,-0.021536,0.012772
0.2972,-0.026311,0.010980
0.3000,-0.028639,0.005809
0.3028,-0.028061,0.000875
0.3056,-0.028999,-0.001131
0.3083,-0.032166,-0.000434
0.3111,-0.033028,0.001069
0.3139,-0.029239,0.002616
0.3167,-0.023829,0.004732
0.3194,-0.021572,0.007394
0.3222,-0.025843,0.009224
0.3250,-0.034689,0.009118
0.3278,-0.039100,0.007894
0.3306,-0.033726,0.007453
0.3333,-0.026054,0.008587
0.3361,-0.023901,0.009666
0.3389,-0.021739,0.008450
0.3417,-0.011632,0.005357
0.3444,0.001493,0.003203
0.3472,0.007312,0.004430
0.3500,0.006594,0.007464
0.3528,0.009900,0.007054
0.3556,0.021475,0.000101
0.3583,0.033887,-0.010430
0.3611,0.040718,-0.018300
0.3639,0.044090,-0.020881
0.3667,0.046047,-0.021219
0.3694,0.046040,-0.025082
0.3722,0.049269,-0.034772
0.3750,0.059372,-0.046330
0.3778,0.063679,-0.053651
0.3806,0.047491,-0.054721
0.3833,0.019807,-0.052455
0.3861,0.004939,-0.050098
0.3889,0.010825,-0.049181
0.3917,0.017340,-0.048436
0.3944,0.000476,-0.046280
0.3972,-0.033200,-0.042733
0.4000,-0.052983,-0.038974
0.4028,-0.049513,-0.035716
