Time_s,Raw_Preprocessed_Norm,Denoised_Norm
0.0000,0.235944,0.041910
0.0028,0.093885,0.041962
0.0056,0.065517,0.042082
0.0083,0.097409,0.042161
0.0111,0.098856,0.042250
0.0139,0.083051,0.042837
0.0167,0.087643,0.042690
0.0194,0.097254,0.041936
0.0222,0.095577,0.040559
0.0250,0.094701,0.040085
0.0278,0.098993,0.041762
0.0306,0.099182,0.044273
0.0333,0.095637,0.046504
0.0361,0.095629,0.045538
0.0389,0.098921,0.040803
0.0417,0.101234,0.036262
0.0444,0.102152,0.035916
0.0472,0.102720,0.038924
0.0500,0.101832,0.042242
0.0528,0.099660,0.043122
0.0556,0.100808,0.042330
0.0583,0.107187,0.042366
0.0611,0.109942,0.045044
0.0639,0.099797,0.049379
0.0667,0.083395,0.054187
0.0694,0.074919,0.059178
0.0722,0.075832,0.065533
0.0750,0.077713,0.072623
0.0778,0.077854,0.077916
0.0806,0.079138,0.076790
0.0833,0.081486,0.069658
0.0861,0.082211,0.061419
0.0889,0.081357,0.056575
0.0917,0.081767,0.056951
0.0944,0.083823,0.060426
0.0972,0.085250,0.064232
0.1000,0.087815,0.067633
0.1028,0.093164,0.070980
0.1056,0.091138,0.075144
0.1083,0.072078,0.079593
0.1111,0.048569,0.082639
0.1139,0.039928,0.083558
0.1167,0.043587,0.080818
0.1194,0.045871,0.072039
0.1222,0.045338,0.057613
0.1250,0.046330,0.040160
0.1278,0.047888,0.024425
0.1306,0.050004,0.013765
0.1333,0.054285,0.008396
0.1361,0.057089,0.009255
0.1389,0.055925,0.017140
0.1417,0.055105,0.030699
0.1444,0.052592,0.046051
0.1472,0.036464,0.055955
0.1500,0.006451,0.057489
0.1528,-0.020322,0.053158
0.1556,-0.033720,0.048375
0.1583,-0.040669,0.046805
0.1611,-0.047859,0.048190
0.1639,-0.051288,0.050838
0.1667,-0.043646,0.055101
0.1694,-0.025170,0.061386
0.1722,-0.006949,0.070016
0.1750,0.000655,0.079040
0.1778,0.001000,0.085657
0.1806,0.002862,0.088133
0.1833,0.006115,0.085948
0.1861,0.007051,0.079010
