Time_s,Raw_Preprocessed_Norm,Denoised_Norm
0.0000,-0.059231,-0.057890
0.0028,-0.405491,-0.052550
0.0056,-0.472994,-0.043693
0.0083,-0.402088,-0.037215
0.0111,-0.411724,-0.038570
0.0139,-0.451489,-0.047201
0.0167,-0.429376,-0.055529
0.0194,-0.404708,-0.057834
0.0222,-0.424803,-0.052933
0.0250,-0.442655,-0.046584
0.0278,-0.431824,-0.046100
0.0306,-0.420758,-0.049513
0.0333,-0.432427,-0.048755
0.0361,-0.466001,-0.036952
0.0389,-0.499829,-0.012645
0.0417,-0.499094,0.010178
0.0444,-0.462372,0.014224
0.0472,-0.434742,-0.012833
0.0500,-0.438702,-0.066851
0.0528,-0.442226,-0.128586
0.0556,-0.423622,-0.175498
0.0583,-0.405586,-0.205997
0.0611,-0.402942,-0.242847
0.0639,-0.394319,-0.306486
0.0667,-0.358692,-0.387038
0.0694,-0.309126,-0.445294
0.0722,-0.295056,-0.447372
0.0750,-0.362778,-0.397421
0.0778,-0.489489,-0.335359
0.0806,-0.597345,-0.294985
0.0833,-0.655912,-0.265317
0.0861,-0.707104,-0.200322
0.0889,-0.789968,-0.065029
0.0917,-0.912308,0.120470
0.0944,-1.054985,0.286865
0.0972,-1.143604,0.362847
0.1000,-1.107296,0.326882
0.1028,-1.002496,0.217284
0.1056,-0.950520,0.096173
0.1083,-0.954994,0.004170
0.1111,-0.910388,-0.053278
0.1139,-0.726291,-0.084411
0.1167,-0.355579,-0.096034
0.1194,0.144405,-0.094362
0.1222,0.533872,-0.087302
0.1250,0.586203,-0.082243
0.1278,0.361773,-0.082490
0.1306,0.098078,-0.085607
0.1333,-0.086613,-0.089387
0.1361,-0.212792,-0.100124
0.1389,-0.294862,-0.123805
0.1417,-0.328675,-0.157179
0.1444,-0.337539,-0.185502
0.1472,-0.345848,-0.197820
0.1500,-0.351573,-0.193769
0.1528,-0.346568,-0.186611
0.1556,-0.333096,-0.190101
0.1583,-0.319683,-0.209220
0.1611,-0.315646,-0.235735
0.1639,-0.324346,-0.254593
0.1667,-0.339400,-0.254565
0.1694,-0.351856,-0.236719
0.1722,-0.356295,-0.214285
0.1750,-0.349838,-0.203144
0.1778,-0.335728,-0.208007
0.1806,-0.329259,-0.220225
0.1833,-0.346593,-0.228141
0.1861,-0.381131,-0.228766
0.1889,-0.405952,-0.230852
0.1917,-0.406579,-0.244282
0.1944,-0.392121,-0.269260
0.1972,-0.373830,-0.291301
0.2000,-0.357350,-0.293480
0.2028,-0.349736,-0.270437
0.2056,-0.353635,-0.233158
0.2083,-0.364410,-0.200683
0.2111,-0.376208,-0.186644
0.2139,-0.382299,-0.190536
0.2167,-0.387100,-0.202591
0.2194,-0.413582,-0.214610
0.2222,-0.462465,-0.226883
0.2250,-0.486823,-0.248601
0.2278,-0.451612,-0.285194
0.2306,-0.385594,-0.329955
0.2333,-0.339303,-0.370528
0.2361,-0.323713,-0.400003
0.2389,-0.316440,-0.422203
0.2417,-0.312220,-0.445494
0.2444,-0.331301,-0.470835
0.2472,-0.364044,-0.490337
0.2500,-0.371461,-0.495353
0.2528,-0.378962,-0.488048
0.2556,-0.462691,-0.483318
0.2583,-0.597139,-0.496246
0.2611,-0.663129,-0.527141
0.2639,-0.642266,-0.559736
0.2667,-0.638507,-0.574509
0.2694,-0.691928,-0.565711
0.2722,-0.729563,-0.546860
0.2750,-0.707277,-0.538609
0.2778,-0.672210,-0.549973
0.2806,-0.671810,-0.568307
0.2833,-0.691896,-0.571736
0.2861,-0.708467,-0.549664
0.2889,-0.729827,-0.510877
0.2917,-0.752399,-0.474640
0.2944,-0.744716,-0.451286
0.2972,-0.713425,-0.431204
0.3000,-0.707978,-0.397457
0.3028,-0.734512,-0.343507
0.3056,-0.749856,-0.280889
0.3083,-0.740110,-0.229046
0.3111,-0.718496,-0.198309
0.3139,-0.676890,-0.179648
0.3167,-0.618986,-0.156338
0.3194,-0.583601,-0.121810
0.3222,-0.572059,-0.082631
0.3250,-0.527942,-0.050359
0.3278,-0.433197,-0.028632
0.3306,-0.343688,-0.009152
0.3333,-0.299591,0.018261
0.3361,-0.274341,0.053474
0.3389,-0.232902,0.086788
0.3417,-0.179240,0.109393
0.3444,-0.129894,0.120920
0.3472,-0.087036,0.128203
0.3500,-0.051796,0.136841
0.3528,-0.029939,0.145754
0.3556,-0.009449,0.148873
0.3583,0.036179,0.143386
0.3611,0.102025,0.133301
0.3639,0.146774,0.125626
0.3667,0.157038,0.123927
0.3694,0.166895,0.124407
0.3722,0.194497,0.121529
0.3750,0.218524,0.115074
0.3778,0.226562,0.108716
0.3806,0.229369,0.106539
0.3833,0.229206,0.108474
0.3861,0.220344,0.107958
0.3889,0.210497,0.097876
0.3917,0.209576,0.077404
0.3944,0.212440,0.056695
0.3972,0.211244,0.052062
0.4000,0.206146,0.073118
0.4028,0.197988,0.112882
0.4056,0.191730,0.147855
0.4083,0.198163,0.151647
0.4111,0.207657,0.117323
0.4139,0.190202,0.067012
0.4167,0.151573,0.034415
0.4194,0.143105,0.037594
0.4222,0.181991,0.066338
0.4250,0.223158,0.098472
0.4278,0.241486,0.122847
0.4306,0.263483,0.146740
0.4333,0.283282,0.181474
0.4361,0.242963,0.223144
0.4389,0.149758,0.252663
0.4417,0.114336,0.258373
0.4444,0.199132,0.245696
0.4472,0.319764,0.231158
0.4500,0.377558,0.226338
0.4528,0.402568,0.229664
0.4556,0.477954,0.233032
0.4583,0.595274,0.234575
0.4611,0.676181,0.241684
0.4639,0.693544,0.266573
0.4667,0.687104,0.312217
0.4694,0.684101,0.368169
0.4722,0.680424,0.414385
0.4750,0.677316,0.428549
0.4778,0.669057,0.397595
0.4806,0.634269,0.325324
0.4833,0.595173,0.234604
0.4861,0.611360,0.159676
0.4889,0.671174,0.125794
0.4917,0.697563,0.133546
0.4944,0.683809,0.160914
0.4972,0.685326,0.183505
0.5000,0.680279,0.191641
0.5028,0.594579,0.188479
0.5056,0.448387,0.178769
0.5083,0.337256,0.161289
0.5111,0.297029,0.132131
0.5139,0.291911,0.095113
0.5167,0.294506,0.065298
0.5194,0.301652,0.054282
0.5222,0.304541,0.062367
0.5250,0.290318,0.080480
0.5278,0.259018,0.098578
0.5306,0.221541,0.111514
0.5333,0.183970,0.118861
0.5361,0.140863,0.120170
0.5389,0.094170,0.115773
0.5417,0.066679,0.108396
0.5444,0.071914,0.104169
0.5472,0.090887,0.109090
0.5500,0.104480,0.123887
0.5528,0.118368,0.136468
0.5556,0.139389,0.132222
0.5583,0.160528,0.106171
0.5611,0.174648,0.070836
0.5639,0.182537,0.049022
0.5667,0.191769,0.058379
0.5694,0.210830,0.094482
0.5722,0.236751,0.134310
0.5750,0.254795,0.151294
0.5778,0.253934,0.135693
0.5806,0.236778,0.102109
0.5833,0.214211,0.077540
0.5861,0.194045,0.079453
0.5889,0.184350,0.101461
0.5917,0.204672,0.122328
0.5944,0.262130,0.127061
0.5972,0.316555,0.118237
0.6000,0.317679,0.110821
0.6028,0.276597,0.113593
0.6056,0.250342,0.121221
0.6083,0.264325,0.126679
0.6111,0.297438,0.129440
0.6139,0.330545,0.131060
0.6167,0.363876,0.122734
0.6194,0.390891,0.091813
0.6222,0.394586,0.024898
0.6250,0.376809,-0.069931
0.6278,0.359947,-0.159613
0.6306,0.352501,-0.205684
0.6333,0.341622,-0.194024
0.6361,0.315795,-0.149983
0.6389,0.266602,-0.118084
0.6417,0.184896,-0.117936
0.6444,0.070681,-0.122706
0.6472,-0.077994,-0.083745
0.6500,-0.256263,0.019627
0.6528,-0.390866,0.158404
0.6556,-0.381116,0.268342
0.6583,-0.268334,0.298461
0.6611,-0.216986,0.236246
0.6639,-0.255807,0.122218
0.6667,-0.231778,0.018751
0.6694,-0.068528,-0.036630
0.6722,0.174135,-0.047867
0.6750,0.498090,-0.038642
0.6778,0.902771,-0.021844
0.6806,1.150586,0.004385
0.6833,0.986151,0.034006
0.6861,0.564278,0.053266
0.6889,0.275844,0.049867
0.6917,0.216484,0.035327
0.6944,0.186051,0.030815
0.6972,0.099039,0.040175
0.7000,0.058566,0.041302
0.7028,0.109805,0.013936
0.7056,0.176381,-0.034984
0.7083,0.201154,-0.066478
0.7111,0.196987,-0.048023
0.7139,0.185114,0.009207
0.7167,0.177723,0.061398
