Time_s,Raw_Preprocessed_Norm,Denoised_Norm
0.0000,-0.139700,-0.097804
0.0028,-0.124342,-0.094266
0.0056,-0.115687,-0.092346
0.0083,-0.113071,-0.092718
0.0111,-0.112777,-0.093361
0.0139,-0.112071,-0.093577
0.0167,-0.107632,-0.093690
0.0194,-0.099772,-0.093953
0.0222,-0.096101,-0.094856
0.0250,-0.099946,-0.094844
0.0278,-0.101202,-0.093788
0.0306,-0.089657,-0.089571
0.0333,-0.069255,-0.085089
0.0361,-0.051867,-0.083968
0.0389,-0.045942,-0.086663
0.0417,-0.051751,-0.091566
0.0444,-0.059860,-0.094903
0.0472,-0.060684,-0.094374
0.0500,-0.057434,-0.091653
0.0528,-0.056628,-0.089822
0.0556,-0.054614,-0.091101
0.0583,-0.051325,-0.094746
0.0611,-0.057758,-0.096922
0.0639,-0.072720,-0.093505
0.0667,-0.079286,-0.083151
0.0694,-0.073877,-0.069824
0.0722,-0.068631,-0.060456
0.0750,-0.065946,-0.059983
0.0778,-0.060052,-0.067368
0.0806,-0.055155,-0.075859
0.0833,-0.057798,-0.079538
0.0861,-0.062920,-0.078164
0.0889,-0.062124,-0.076717
0.0917,-0.052499,-0.079984
0.0944,-0.033329,-0.086285
0.0972,-0.009179,-0.088885
0.1000,0.006551,-0.084098
0.1028,0.005495,-0.075173
0.1056,-0.003946,-0.069973
0.1083,-0.008595,-0.073938
0.1111,-0.006417,-0.084642
0.1139,-0.003944,-0.093778
0.1167,-0.005276,-0.094643
0.1194,-0.008611,-0.089179
0.1222,-0.009937,-0.084171
0.1250,-0.007391,-0.084460
0.1278,-0.001388,-0.089115
0.1306,0.008027,-0.093109
0.1333,0.018141,-0.092938
0.1361,0.019710,-0.090271
0.1389,0.008621,-0.089382
0.1417,-0.000870,-0.092171
0.1444,0.007371,-0.096262
0.1472,0.025408,-0.098157
0.1500,0.032900,-0.097646
0.1528,0.027765,-0.097197
0.1556,0.023335,-0.098642
0.1583,0.024948,-0.100697
0.1611,0.029138,-0.099523
0.1639,0.035331,-0.093442
0.1667,0.044111,-0.084559
0.1694,0.052943,-0.077473
0.1722,0.060013,-0.076892
0.1750,0.064923,-0.083589
0.1778,0.066345,-0.093545
0.1806,0.066224,-0.099977
0.1833,0.071386,-0.098084
0.1861,0.083829,-0.088405
0.1889,0.097139,-0.077085
0.1917,0.108320,-0.071084
0.1944,0.121898,-0.070774
0.1972,0.137248,-0.070952
0.2000,0.145226,-0.066473
0.2028,0.142883,-0.059956
0.2056,0.140125,-0.059104
0.2083,0.146608,-0.068415
0.2111,0.160108,-0.082645
0.2139,0.172674,-0.090289
0.2167,0.182345,-0.084212
0.2194,0.192175,-0.068116
0.2222,0.201383,-0.053207
0.2250,0.206937,-0.049309
0.2278,0.212114,-0.054978
0.2306,0.221112,-0.059905
0.2333,0.226890,-0.057577
0.2361,0.220139,-0.053293
0.2389,0.208902,-0.059128
0.2417,0.212151,-0.082295
0.2444,0.234024,-0.115572
0.2472,0.258923,-0.140765
0.2500,0.272000,-0.143002
0.2528,0.272650,-0.122698
0.2556,0.266954,-0.095814
0.2583,0.257464,-0.079220
0.2611,0.245060,-0.074497
0.2639,0.231819,-0.067969
0.2667,0.212286,-0.043457
0.2694,0.172085,0.001320
0.2722,0.116132,0.051415
0.2750,0.086282,0.085149
0.2778,0.113604,0.090193
0.2806,0.166164,0.070352
0.2833,0.193192,0.039339
0.2861,0.201145,0.010431
0.2889,0.235014,-0.007980
0.2917,0.316804,-0.013177
0.2944,0.441835,-0.007017
0.2972,0.586877,0.005847
0.3000,0.698057,0.019146
0.3028,0.725028,0.027879
0.3056,0.676059,0.030819
0.3083,0.601420,0.029921
0.3111,0.537270,0.029570
0.3139,0.492325,0.033647
0.3167,0.465905,0.042153
0.3194,0.456665,0.051610
0.3222,0.460218,0.057603
0.3250,0.466244,0.058601
0.3278,0.465518,0.058089
0.3306,0.462358,0.061829
0.3333,0.469272,0.072578
0.3361,0.489128,0.087442
0.3389,0.514510,0.099895
0.3417,0.538635,0.104840
0.3444,0.555933,0.102439
0.3472,0.562622,0.099063
0.3500,0.563334,0.101989
0.3528,0.565208,0.112623
0.3556,0.568537,0.126195
0.3583,0.574894,0.136511
0.3611,0.588363,0.140986
0.3639,0.597170,0.142756
0.3667,0.582038,0.146738
0.3694,0.552980,0.156226
0.3722,0.542118,0.169844
0.3750,0.554419,0.182361
0.3778,0.565392,0.188730
0.3806,0.565438,0.188124
0.3833,0.564969,0.185612
0.3861,0.564634,0.188442
0.3889,0.558941,0.199995
0.3917,0.556319,0.216926
0.3944,0.566619,0.231956
0.3972,0.584296,0.240994
0.4000,0.599253,0.247791
0.4028,0.606357,0.259500
0.4056,0.602396,0.279080
0.4083,0.592965,0.302435
0.4111,0.594849,0.321866
0.4139,0.614382,0.335257
0.4167,0.636321,0.348297
0.4194,0.645709,0.367523
0.4222,0.645168,0.394228
0.4250,0.645355,0.422666
0.4278,0.653839,0.446130
0.4306,0.672667,0.463829
0.4333,0.694281,0.480007
0.4361,0.706800,0.499973
0.4389,0.712044,0.525280
0.4417,0.725520,0.554235
0.4444,0.752398,0.583823
0.4472,0.779884,0.610335
0.4500,0.798831,0.633727
0.4528,0.815388,0.656050
0.4556,0.835396,0.679199
0.4583,0.855380,0.705023
0.4611,0.875407,0.732738
0.4639,0.903005,0.763949
0.4667,0.938078,0.799318
0.4694,0.969073,0.838262
0.4722,0.988651,0.875649
0.4750,1.002373,0.904128
0.4778,1.019161,0.918333
0.4806,1.041168,0.921789
0.4833,1.064959,0.925500
0.4861,1.084943,0.941122
0.4889,1.095996,0.971067
0.4917,1.103840,1.009107
0.4944,1.124856,1.047780
0.4972,1.156168,1.080823
0.5000,1.165393,1.107351
0.5028,1.139438,1.132242
0.5056,1.113698,1.157742
0.5083,1.120838,1.185352
0.5111,1.147930,1.217718
0.5139,1.169546,1.252469
0.5167,1.182568,1.287606
0.5194,1.191995,1.318859
0.5222,1.197208,1.344504
0.5250,1.200559,1.365100
0.5278,1.207534,1.383281
0.5306,1.217633,1.401092
0.5333,1.227061,1.421509
0.5361,1.236690,1.443260
0.5389,1.248243,1.462879
0.5417,1.256473,1.471657
0.5444,1.255842,1.467604
0.5472,1.252814,1.459377
0.5500,1.258922,1.453491
0.5528,1.273754,1.457087
0.5556,1.288472,1.475874
0.5583,1.301009,1.507004
0.5611,1.313613,1.546242
0.5639,1.323788,1.588731
0.5667,1.330087,1.633013
0.5694,1.335812,1.675004
0.5722,1.340350,1.710325
0.5750,1.342037,1.731140
0.5778,1.349844,1.750827
0.5806,1.372142,1.769970
0.5833,1.397998,1.796779
0.5861,1.410886,1.821870
0.5889,1.413741,1.832751
0.5917,1.422552,1.820102
0.5944,1.442072,1.783213
0.5972,1.457518,1.729890
0.6000,1.453771,1.665495
0.6028,1.447218,1.551176
0.6056,1.466748,1.339505
0.6083,1.484885,1.007671
0.6111,1.458212,0.587289
0.6139,1.450743,0.164475
0.6167,1.523500,-0.163356
0.6194,1.544893,-0.357359
0.6222,1.459462,-0.446241
0.6250,1.527356,-0.478730
0.6278,1.725711,-0.493200
0.6306,1.408012,-0.497819
0.6333,0.355237,-0.502824
0.6361,-0.592284,-0.509710
0.6389,-0.771266,-0.529239
0.6417,-0.597526,-0.557795
0.6444,-0.616577,-0.588964
0.6472,-0.722944,-0.609340
0.6500,-0.714818,-0.612979
0.6528,-0.699126,-0.596006
0.6556,-0.752540,-0.573528
0.6583,-0.790308,-0.555814
0.6611,-0.789028,-0.553336
0.6639,-0.803134,-0.560205
0.6667,-0.834099,-0.576388
0.6694,-0.852216,-0.596615
0.6722,-0.865502,-0.622672
0.6750,-0.891495,-0.649216
0.6778,-0.921250,-0.672868
0.6806,-0.940481,-0.686996
0.6833,-0.951008,-0.689095
0.6861,-0.961167,-0.682892
0.6889,-0.971746,-0.682016
0.6917,-0.979983,-0.695250
0.6944,-0.993174,-0.726862
0.6972,-1.020004,-0.766950
0.7000,-1.047393,-0.800092
0.7028,-1.059795,-0.816496
0.7056,-1.072112,-0.818628
0.7083,-1.088784,-0.815438
0.7111,-1.074159,-0.817751
0.7139,-1.047756,-0.826583
0.7167,-1.115243,-0.837978
0.7194,-1.293089,-0.849032
0.7222,-1.437111,-0.863057
0.7250,-1.452382,-0.883711
0.7278,-1.414296,-0.908185
0.7306,-1.410104,-0.928059
0.7333,-1.426379,-0.938609
0.7361,-1.432796,-0.941967
0.7389,-1.441770,-0.944534
0.7417,-1.464940,-0.952480
0.7444,-1.490937,-0.966172
0.7472,-1.510968,-0.981836
0.7500,-1.528888,-0.994265
0.7528,-1.546604,-0.999267
0.7556,-1.556864,-0.996216
0.7583,-1.556014,-0.990586
0.7611,-1.554409,-0.985129
0.7639,-1.562711,-0.981983
0.7667,-1.577339,-0.981553
0.7694,-1.590920,-0.981961
0.7722,-1.602288,-0.982025
0.7750,-1.608342,-0.977608
0.7778,-1.604505,-0.965956
0.7806,-1.595614,-0.949172
0.7833,-1.590358,-0.930251
0.7861,-1.589294,-0.914106
0.7889,-1.588460,-0.902587
0.7917,-1.586259,-0.894050
0.7944,-1.582472,-0.884140
0.7972,-1.576549,-0.868373
0.8000,-1.565392,-0.844781
0.8028,-1.544702,-0.817848
0.8056,-1.518855,-0.793141
0.8083,-1.499373,-0.773971
0.8111,-1.487073,-0.759372
0.8139,-1.471459,-0.744728
0.8167,-1.448747,-0.726579
0.8194,-1.421967,-0.703362
0.8222,-1.389712,-0.677298
0.8250,-1.353341,-0.653344
0.8278,-1.324072,-0.635605
0.8306,-1.307514,-0.624568
0.8333,-1.294123,-0.614698
0.8361,-1.274659,-0.598734
0.8389,-1.250607,-0.574056
0.8417,-1.225368,-0.544729
0.8444,-1.200607,-0.518048
0.8472,-1.180397,-0.498896
0.8500,-1.165938,-0.483345
0.8528,-1.152411,-0.465701
0.8556,-1.137764,-0.443064
0.8583,-1.122719,-0.420045
0.8611,-1.103546,-0.404791
0.8639,-1.080839,-0.397116
0.8667,-1.066028,-0.383528
0.8694,-1.061607,-0.349051
0.8722,-1.053447,-0.292780
0.8750,-1.039708,-0.229963
0.8778,-1.033193,-0.181174
0.8806,-1.021406,-0.155670
0.8833,-0.987027,-0.145950
0.8861,-0.968942,-0.137027
0.8889,-0.993299,-0.121064
0.8917,-0.967826,-0.101023
0.8944,-0.809019,-0.084694
0.8972,-0.620504,-0.075727
0.9000,-0.553664,-0.070584
0.9028,-0.581749,-0.064699
0.9056,-0.589438,-0.058596
0.9083,-0.562308,-0.055784
0.9111,-0.544846,-0.058075
0.9139,-0.534509,-0.062805
0.9167,-0.515012,-0.065277
0.9194,-0.502135,-0.062294
0.9222,-0.506021,-0.055271
0.9250,-0.508435,-0.048546
0.9278,-0.497337,-0.046818
0.9306,-0.484957,-0.053036
0.9333,-0.482027,-0.066145
0.9361,-0.479283,-0.082752
0.9389,-0.465212,-0.097414
0.9417,-0.446026,-0.104452
0.9444,-0.433898,-0.101468
0.9472,-0.427004,-0.090788
0.9500,-0.417590,-0.078932
