Time_s,Raw_Preprocessed_Norm,Denoised_Norm
0.0000,-0.002773,-0.108931
0.0028,-0.574476,-0.109765
0.0056,-0.683784,-0.109127
0.0083,-0.542921,-0.106141
0.0111,-0.524643,-0.102696
0.0139,-0.587314,-0.099495
0.0167,-0.576786,-0.097954
0.0194,-0.543341,-0.096673
0.0222,-0.551136,-0.093788
0.0250,-0.556739,-0.091332
0.0278,-0.539497,-0.091783
0.0306,-0.530976,-0.092806
0.0333,-0.535231,-0.094998
0.0361,-0.533961,-0.096444
0.0389,-0.528268,-0.095988
0.0417,-0.525037,-0.093355
0.0444,-0.520243,-0.089990
0.0472,-0.512885,-0.086421
0.0500,-0.508213,-0.083499
0.0528,-0.505616,-0.080806
0.0556,-0.501477,-0.078408
0.0583,-0.499245,-0.076318
0.0611,-0.503390,-0.074703
0.0639,-0.509303,-0.073580
0.0667,-0.509834,-0.072701
0.0694,-0.506202,-0.071115
0.0722,-0.503596,-0.067814
0.0750,-0.501656,-0.062990
0.0778,-0.497154,-0.058369
0.0806,-0.490994,-0.054472
0.0833,-0.486022,-0.051681
0.0861,-0.482049,-0.049454
0.0889,-0.477665,-0.046547
0.0917,-0.473279,-0.043287
0.0944,-0.469304,-0.039864
0.0972,-0.464533,-0.037196
0.1000,-0.458022,-0.036120
0.1028,-0.450342,-0.035889
0.1056,-0.442817,-0.035773
0.1083,-0.436956,-0.034560
0.1111,-0.433264,-0.032118
0.1139,-0.429767,-0.029209
0.1167,-0.423936,-0.027041
0.1194,-0.416247,-0.026190
0.1222,-0.409296,-0.026619
0.1250,-0.404167,-0.027457
0.1278,-0.400345,-0.028486
0.1306,-0.397380,-0.029090
0.1333,-0.394127,-0.029067
0.1361,-0.388786,-0.027897
0.1389,-0.381470,-0.025593
0.1417,-0.374391,-0.022922
0.1444,-0.369075,-0.021074
0.1472,-0.365294,-0.020904
0.1500,-0.362163,-0.021970
0.1528,-0.359131,-0.022994
0.1556,-0.356296,-0.022483
0.1583,-0.353555,-0.021394
0.1611,-0.349635,-0.021196
0.1639,-0.343601,-0.022503
0.1667,-0.336778,-0.024265
0.1694,-0.331288,-0.024838
0.1722,-0.327637,-0.023263
0.1750,-0.325180,-0.020530
0.1778,-0.323280,-0.018431
0.1806,-0.320729,-0.017927
0.1833,-0.315921,-0.018818
0.1861,-0.309137,-0.020156
0.1889,-0.303459,-0.020655
0.1917,-0.301150,-0.020428
0.1944,-0.299418,-0.019926
0.1972,-0.293411,-0.019968
0.2000,-0.283686,-0.020582
0.2028,-0.275420,-0.021430
0.2056,-0.270551,-0.021547
0.2083,-0.267104,-0.020678
0.2111,-0.264298,-0.019088
0.2139,-0.261870,-0.018268
0.2167,-0.257768,-0.018731
0.2194,-0.251430,-0.019551
0.2222,-0.245358,-0.019504
0.2250,-0.241236,-0.018692
0.2278,-0.238449,-0.018667
0.2306,-0.236156,-0.020806
0.2333,-0.233512,-0.024259
0.2361,-0.229459,-0.026843
0.2389,-0.224389,-0.025929
0.2417,-0.219829,-0.021327
0.2444,-0.216185,-0.015431
0.2472,-0.213421,-0.011227
0.2500,-0.212472,-0.010354
0.2528,-0.212369,-0.012069
0.2556,-0.209869,-0.014633
0.2583,-0.207134,-0.016758
0.2611,-0.211258,-0.018307
0.2639,-0.217811,-0.019617
0.2667,-0.209872,-0.020542
0.2694,-0.185493,-0.020538
0.2722,-0.165603,-0.019406
0.2750,-0.162821,-0.017670
0.2778,-0.166532,-0.016824
0.2806,-0.166256,-0.017727
0.2833,-0.164836,-0.019768
0.2861,-0.165162,-0.021804
0.2889,-0.164071,-0.023281
0.2917,-0.160095,-0.024254
0.2944,-0.155341,-0.025335
0.2972,-0.151287,-0.026893
0.3000,-0.148078,-0.028543
0.3028,-0.145572,-0.029554
0.3056,-0.142988,-0.029519
0.3083,-0.139549,-0.028740
0.3111,-0.136081,-0.027998
0.3139,-0.133964,-0.027905
0.3167,-0.132513,-0.028437
0.3194,-0.130120,-0.029392
0.3222,-0.127518,-0.030101
0.3250,-0.126171,-0.029968
0.3278,-0.124601,-0.029023
0.3306,-0.120704,-0.027582
0.3333,-0.115854,-0.025972
0.3361,-0.112664,-0.024453
0.3389,-0.111009,-0.023151
0.3417,-0.109258,-0.021553
0.3444,-0.106965,-0.019350
0.3472,-0.104474,-0.016719
0.3500,-0.101547,-0.014086
0.3528,-0.097317,-0.011989
0.3556,-0.091724,-0.010667
0.3583,-0.086953,-0.009703
0.3611,-0.085229,-0.008609
0.3639,-0.084807,-0.007264
0.3667,-0.082057,-0.005552
0.3694,-0.077409,-0.003654
0.3722,-0.073980,-0.001998
0.3750,-0.071640,-0.000389
0.3778,-0.068498,0.001107
0.3806,-0.065725,0.002697
0.3833,-0.064802,0.004616
0.3861,-0.063367,0.006466
0.3889,-0.059140,0.007775
0.3917,-0.054210,0.008342
0.3944,-0.051524,0.008475
0.3972,-0.050759,0.008640
0.4000,-0.050033,0.009233
0.4028,-0.048354,0.010486
0.4056,-0.045367,0.012303
0.4083,-0.041429,0.014201
0.4111,-0.037891,0.015813
0.4139,-0.035585,0.016878
0.4167,-0.034221,0.017439
0.4194,-0.033656,0.017825
