Time_s,Raw_Preprocessed_Norm,Denoised_Norm
0.0000,0.198704,0.075554
0.0028,0.236356,0.079202
0.0056,0.236070,0.077506
0.0083,0.210377,0.072510
0.0111,0.195032,0.069129
0.0139,0.201776,0.068493
0.0167,0.218339,0.067239
0.0194,0.230985,0.061570
0.0222,0.233567,0.053463
0.0250,0.225381,0.049396
0.0278,0.209409,0.052531
0.0306,0.195236,0.060778
0.0333,0.196565,0.066851
0.0361,0.215817,0.062996
0.0389,0.237301,0.051298
0.0417,0.244268,0.041139
0.0444,0.234425,0.038691
0.0472,0.215827,0.040029
0.0500,0.199822,0.037013
0.0528,0.197224,0.026652
0.0556,0.209628,0.012916
0.0583,0.226851,0.003187
0.0611,0.236674,0.003037
0.0639,0.232419,0.010857
0.0667,0.217643,0.021917
0.0694,0.207894,0.030474
0.0722,0.211579,0.032410
0.0750,0.211512,0.027579
0.0778,0.189713,0.020330
0.0806,0.157729,0.016221
0.0833,0.136251,0.019573
0.0861,0.127100,0.029338
0.0889,0.125551,0.038497
0.0917,0.132328,0.040406
0.0944,0.141840,0.034649
0.0972,0.143152,0.028494
0.1000,0.134305,0.029638
0.1028,0.120579,0.039215
0.1056,0.107158,0.051100
0.1083,0.101456,0.056273
0.1111,0.108729,0.051027
0.1139,0.120912,0.040850
0.1167,0.122605,0.033983
0.1194,0.109526,0.034972
0.1222,0.092343,0.042144
0.1250,0.084133,0.050031
0.1278,0.089104,0.053507
0.1306,0.100566,0.051620
0.1333,0.107663,0.046299
0.1361,0.104981,0.042344
0.1389,0.094738,0.042368
0.1417,0.082648,0.045462
0.1444,0.075952,0.048539
0.1472,0.080005,0.048478
0.1500,0.091612,0.043003
0.1528,0.100966,0.034061
0.1556,0.101495,0.027281
0.1583,0.093269,0.027300
0.1611,0.081531,0.034574
0.1639,0.076026,0.043781
0.1667,0.082980,0.048975
0.1694,0.095640,0.046841
0.1722,0.101830,0.039992
0.1750,0.098065,0.034222
0.1778,0.088700,0.033389
0.1806,0.079326,0.037296
0.1833,0.076845,0.043164
0.1861,0.085417,0.046612
0.1889,0.099026,0.045184
0.1917,0.107353,0.040102
0.1944,0.107307,0.036447
0.1972,0.101597,0.039028
0.2000,0.093597,0.048668
0.2028,0.089871,0.059161
0.2056,0.096931,0.062469
0.2083,0.110854,0.056312
0.2111,0.120607,0.046463
0.2139,0.121636,0.040729
0.2167,0.116991,0.040941
0.2194,0.111087,0.040772
0.2222,0.110280,0.031973
0.2250,0.118937,0.013386
0.2278,0.130674,-0.007232
0.2306,0.136859,-0.019439
0.2333,0.139048,-0.018886
0.2361,0.136958,-0.011669
0.2389,0.123896,-0.007662
0.2417,0.113110,-0.010830
0.2444,0.128292,-0.017263
0.2472,0.147504,-0.021548
0.2500,0.119161,-0.021045
0.2528,0.051632,-0.017706
0.2556,0.010001,-0.015357
