Time_s,Raw_Preprocessed_Norm,Denoised_Norm
0.0000,-0.127158,-0.030420
0.0028,-0.019519,-0.028223
0.0056,-0.004423,-0.024877
0.0083,-0.038006,-0.027856
0.0111,-0.046154,-0.036583
0.0139,-0.038874,-0.035485
0.0167,-0.046732,-0.029919
0.0194,-0.059621,-0.034772
0.0222,-0.065575,-0.040445
0.0250,-0.071442,-0.038890
0.0278,-0.078969,-0.033544
0.0306,-0.084036,-0.034574
0.0333,-0.089451,-0.035902
0.0361,-0.098449,-0.034098
0.0389,-0.108474,-0.032530
0.0417,-0.117800,-0.039681
0.0444,-0.127882,-0.039350
0.0472,-0.138461,-0.038453
0.0500,-0.146707,-0.041786
0.0528,-0.151147,-0.044359
0.0556,-0.154073,-0.042724
0.0583,-0.159583,-0.038173
0.0611,-0.167841,-0.039420
0.0639,-0.173130,-0.039243
0.0667,-0.174984,-0.037433
0.0694,-0.184732,-0.034633
0.0722,-0.200787,-0.042013
0.0750,-0.193490,-0.043378
0.0778,-0.154158,-0.044633
0.0806,-0.130692,-0.045479
0.0833,-0.156709,-0.050509
0.0861,-0.186964,-0.049697
0.0889,-0.168337,-0.049610
0.0917,-0.121300,-0.045618
0.0944,-0.091063,-0.041759
0.0972,-0.078880,-0.039518
0.1000,-0.068160,-0.040867
0.1028,-0.061260,-0.037942
0.1056,-0.061432,-0.036674
0.1083,-0.060054,-0.037046
0.1111,-0.052044,-0.042723
0.1139,-0.041098,-0.044167
0.1167,-0.031735,-0.042798
0.1194,-0.024281,-0.043213
0.1222,-0.015496,-0.045797
0.1250,-0.006395,-0.040636
0.1278,-0.004684,-0.035278
0.1306,-0.011563,-0.033151
0.1333,-0.016638,-0.033154
0.1361,-0.013832,-0.031794
0.1389,-0.010030,-0.030010
0.1417,-0.012810,-0.034337
0.1444,-0.020625,-0.036521
0.1472,-0.028523,-0.038220
0.1500,-0.034925,-0.041111
0.1528,-0.039200,-0.042594
0.1556,-0.039312,-0.039993
0.1583,-0.036134,-0.036295
0.1611,-0.034895,-0.033341
0.1639,-0.038755,-0.031885
0.1667,-0.044441,-0.028553
0.1694,-0.046296,-0.025577
0.1722,-0.043994,-0.028646
0.1750,-0.044974,-0.033635
0.1778,-0.054033,-0.035228
0.1806,-0.061941,-0.037364
0.1833,-0.058113,-0.038602
0.1861,-0.051986,-0.038930
0.1889,-0.058501,-0.035526
0.1917,-0.066397,-0.030251
0.1944,-0.052630,-0.029253
0.1972,-0.025555,-0.026741
0.2000,-0.018681,-0.027996
0.2028,-0.037726,-0.030522
0.2056,-0.046519,-0.032615
0.2083,-0.019703,-0.037932
0.2111,0.018620,-0.041783
0.2139,0.032684,-0.045223
0.2167,0.025532,-0.044130
0.2194,0.022139,-0.042360
0.2222,0.027210,-0.037441
0.2250,0.030022,-0.032281
0.2278,0.029212,-0.027898
0.2306,0.027549,-0.023604
0.2333,0.020582,-0.021703
0.2361,0.008305,-0.021594
0.2389,0.000969,-0.023568
0.2417,0.001584,-0.026402
0.2444,0.000150,-0.029089
0.2472,-0.007304,-0.034685
0.2500,-0.012539,-0.035336
0.2528,-0.012327,-0.033475
0.2556,-0.013248,-0.026687
0.2583,-0.016781,-0.022397
0.2611,-0.017591,-0.020956
0.2639,-0.018703,-0.015943
0.2667,-0.029882,-0.003275
0.2694,-0.047268,-0.004710
0.2722,-0.055566,-0.011331
0.2750,-0.055097,-0.015513
0.2778,-0.059319,-0.029079
0.2806,-0.061178,-0.038700
0.2833,-0.038553,-0.042172
0.2861,0.001628,-0.041132
0.2889,0.025002,-0.036798
0.2917,0.019395,-0.029378
0.2944,0.007239,-0.005037
0.2972,0.007892,0.020613
0.3000,0.014291,0.052176
0.3028,0.008819,0.073926
0.3056,-0.012977,0.096333
0.3083,-0.041631,0.105794
0.3111,-0.069344,0.086581
0.3139,-0.090655,0.051984
0.3167,-0.088832,0.020519
0.3194,-0.041630,-0.020374
0.3222,0.052045,-0.065346
0.3250,0.158457,-0.093280
0.3278,0.230635,-0.089209
0.3306,0.255041,-0.086685
0.3333,0.267804,-0.059224
0.3361,0.299224,-0.036830
0.3389,0.323494,-0.010540
0.3417,0.304566,0.012374
0.3444,0.257690,0.028962
0.3472,0.214521,0.034345
0.3500,0.167530,0.026396
0.3528,0.098157,0.021003
0.3556,0.021053,0.012185
0.3583,-0.037667,0.009106
0.3611,-0.074171,-0.001919
0.3639,-0.097243,-0.024323
0.3667,-0.110467,-0.045789
0.3694,-0.115487,-0.056343
0.3722,-0.117513,-0.056983
0.3750,-0.121635,-0.070221
0.3778,-0.128029,-0.076368
0.3806,-0.133168,-0.079893
0.3833,-0.136736,-0.082734
0.3861,-0.142147,-0.088422
0.3889,-0.147100,-0.101651
0.3917,-0.145394,-0.102197
0.3944,-0.141426,-0.107595
0.3972,-0.145543,-0.118350
0.4000,-0.154941,-0.127417
0.4028,-0.159485,-0.132860
0.4056,-0.160693,-0.133884
0.4083,-0.165582,-0.141641
0.4111,-0.173436,-0.136779
0.4139,-0.182433,-0.136403
0.4167,-0.194079,-0.147524
0.4194,-0.205112,-0.153514
0.4222,-0.210190,-0.152564
0.4250,-0.212718,-0.153860
0.4278,-0.221047,-0.163457
0.4306,-0.235398,-0.167621
0.4333,-0.246957,-0.168617
0.4361,-0.250342,-0.159102
0.4389,-0.249822,-0.157627
0.4417,-0.250284,-0.155577
0.4444,-0.250683,-0.145965
0.4472,-0.251082,-0.140270
0.4500,-0.255839,-0.138941
0.4528,-0.265424,-0.134703
0.4556,-0.274604,-0.130507
0.4583,-0.278721,-0.128789
0.4611,-0.275185,-0.127636
0.4639,-0.267804,-0.123078
0.4667,-0.270808,-0.121788
0.4694,-0.285732,-0.120623
0.4722,-0.279496,-0.112887
0.4750,-0.225571,-0.107783
0.4778,-0.160365,-0.103035
0.4806,-0.143628,-0.102444
0.4833,-0.162744,-0.100693
0.4861,-0.141347,-0.094962
0.4889,-0.056547,-0.089761
0.4917,0.021889,-0.089210
0.4944,0.036270,-0.079815
0.4972,0.018439,-0.068125
0.5000,0.029193,-0.055536
0.5028,0.073892,-0.045086
0.5056,0.110889,-0.031917
0.5083,0.113855,-0.019909
0.5111,0.100102,-0.005101
0.5139,0.101712,-0.002272
0.5167,0.124094,0.006051
0.5194,0.143869,0.013305
0.5222,0.142107,0.022106
0.5250,0.128351,0.025090
0.5278,0.130120,0.029946
0.5306,0.158839,0.037113
0.5333,0.191661,0.042720
0.5361,0.199102,0.045209
0.5389,0.183939,0.054609
0.5417,0.175959,0.056706
0.5444,0.193593,0.061878
0.5472,0.223698,0.062283
0.5500,0.239996,0.064919
0.5528,0.235581,0.065694
0.5556,0.226787,0.070568
0.5583,0.225860,0.071392
0.5611,0.228289,0.072345
0.5639,0.228057,0.074623
0.5667,0.226065,0.079979
0.5694,0.223718,0.082444
0.5722,0.221558,0.084197
0.5750,0.220532,0.085505
0.5778,0.218917,0.086378
0.5806,0.214552,0.084870
0.5833,0.209842,0.083879
0.5861,0.207918,0.080579
0.5889,0.207531,0.082377
0.5917,0.206366,0.079918
0.5944,0.204993,0.082104
0.5972,0.204376,0.084051
0.6000,0.201598,0.084838
0.6028,0.191639,0.082626
0.6056,0.175781,0.083429
0.6083,0.163649,0.083053
0.6111,0.161072,0.079887
0.6139,0.161409,0.077026
0.6167,0.156313,0.079506
0.6194,0.148816,0.076152
0.6222,0.146502,0.075782
0.6250,0.147402,0.073637
0.6278,0.144501,0.070655
0.6306,0.139146,0.073187
0.6333,0.136224,0.072099
0.6361,0.132827,0.072337
0.6389,0.125631,0.074472
0.6417,0.119498,0.073037
0.6444,0.117995,0.069127
0.6472,0.117701,0.067348
0.6500,0.117450,0.064310
0.6528,0.120541,0.061026
0.6556,0.126096,0.055437
0.6583,0.128655,0.053565
0.6611,0.126823,0.051866
0.6639,0.125662,0.052402
0.6667,0.130587,0.045634
0.6694,0.141728,0.049145
0.6722,0.152570,0.046989
0.6750,0.154190,0.047964
0.6778,0.145127,0.042337
0.6806,0.135416,0.044224
0.6833,0.135398,0.050935
0.6861,0.142868,0.046220
0.6889,0.146576,0.042127
0.6917,0.141185,0.039893
0.6944,0.133914,0.032277
0.6972,0.133659,0.030765
0.7000,0.138301,0.028316
0.7028,0.140545,0.024293
0.7056,0.140683,0.026112
0.7083,0.141915,0.033207
0.7111,0.140028,0.041644
0.7139,0.130880,0.050938
0.7167,0.120482,0.050409
0.7194,0.116557,0.042896
0.7222,0.118222,0.040254
0.7250,0.120593,0.028219
0.7278,0.120600,0.012850
0.7306,0.116680,-0.003929
0.7333,0.111221,-0.006992
0.7361,0.108937,0.001610
0.7389,0.106196,0.021309
0.7417,0.093387,0.070267
0.7444,0.072724,0.124628
0.7472,0.055687,0.180866
0.7500,0.040728,0.243974
0.7528,0.020921,0.281484
0.7556,0.018563,0.293435
0.7583,0.077177,0.268517
0.7611,0.201500,0.211227
0.7639,0.335135,0.122504
0.7667,0.422791,0.040807
0.7694,0.468674,-0.056534
0.7722,0.504591,-0.131121
0.7750,0.530611,-0.163347
0.7778,0.524874,-0.150123
0.7806,0.488202,-0.111497
0.7833,0.443041,-0.056412
0.7861,0.397584,0.035846
0.7889,0.335604,0.114306
0.7917,0.247755,0.171177
0.7944,0.157328,0.211831
0.7972,0.095764,0.222146
0.8000,0.064424,0.205646
0.8028,0.045317,0.172117
0.8056,0.034092,0.125357
0.8083,0.034272,0.077555
0.8111,0.036643,0.023948
0.8139,0.031408,-0.005660
0.8167,0.023896,-0.024296
0.8194,0.019403,-0.036150
0.8222,0.011557,-0.055954
0.8250,-0.002540,-0.055263
0.8278,-0.014301,-0.040149
0.8306,-0.016846,-0.040576
