Time_s,Raw_Preprocessed_Norm,Denoised_Norm
0.0000,0.005233,0.002580
0.0028,0.159240,0.004311
0.0056,0.190340,0.010019
0.0083,0.153883,0.009202
0.0111,0.147875,0.009499
0.0139,0.164938,0.001768
0.0167,0.167709,0.000222
0.0194,0.163284,-0.005130
0.0222,0.162590,-0.004416
0.0250,0.161146,-0.008212
0.0278,0.159791,-0.001923
0.0306,0.159867,0.006109
0.0333,0.158336,0.010909
0.0361,0.158593,0.013646
0.0389,0.163299,0.020241
0.0417,0.164659,0.019699
0.0444,0.159217,0.017296
0.0472,0.155432,0.010186
0.0500,0.156866,0.006095
0.0528,0.157336,-0.000271
0.0556,0.155889,0.000665
0.0583,0.158296,0.000111
0.0611,0.163884,0.001441
0.0639,0.165800,0.009486
0.0667,0.164321,0.015379
0.0694,0.167399,0.021993
0.0722,0.174282,0.023870
0.0750,0.171729,0.023497
0.0778,0.156491,0.021086
0.0806,0.145997,0.014268
0.0833,0.151187,0.007488
0.0861,0.157888,0.001192
0.0889,0.154090,-0.000034
0.0917,0.152737,0.001000
0.0944,0.166571,0.005865
0.0972,0.184550,0.014960
0.1000,0.192190,0.023526
0.1028,0.191449,0.031247
0.1056,0.188313,0.039267
0.1083,0.184603,0.036897
0.1111,0.185496,0.034300
0.1139,0.193311,0.025430
0.1167,0.199597,0.021261
0.1194,0.199520,0.014466
0.1222,0.199818,0.013490
0.1250,0.203927,0.013364
0.1278,0.208407,0.016560
0.1306,0.214711,0.029082
0.1333,0.225172,0.038778
0.1361,0.233357,0.044954
0.1389,0.233862,0.048489
0.1417,0.231586,0.044002
0.1444,0.231604,0.039977
0.1472,0.231433,0.028790
0.1500,0.228255,0.020613
0.1528,0.223675,0.016578
0.1556,0.219967,0.029116
0.1583,0.218930,0.035353
0.1611,0.222690,0.044220
0.1639,0.229541,0.069184
0.1667,0.232423,0.098059
0.1694,0.227701,0.109511
0.1722,0.219742,0.112312
0.1750,0.207584,0.114598
0.1778,0.178506,0.101908
0.1806,0.136069,0.076153
0.1833,0.121196,0.054663
0.1861,0.170450,0.026322
0.1889,0.265455,0.001679
0.1917,0.361277,-0.014472
0.1944,0.441394,-0.011829
0.1972,0.504063,-0.002182
0.2000,0.531542,0.005253
0.2028,0.516946,0.026141
0.2056,0.484863,0.055900
0.2083,0.455107,0.075057
0.2111,0.422958,0.081586
0.2139,0.386201,0.083538
0.2167,0.350997,0.088849
0.2194,0.310660,0.082291
0.2222,0.255933,0.068094
0.2250,0.199757,0.058493
0.2278,0.163213,0.051236
0.2306,0.147953,0.043693
0.2333,0.141799,0.035589
0.2361,0.138204,0.034646
0.2389,0.136397,0.035060
0.2417,0.133963,0.026975
0.2444,0.129829,0.023590
0.2472,0.127426,0.023008
0.2500,0.129157,0.017903
0.2528,0.132613,0.013524
0.2556,0.134305,0.010661
0.2583,0.133523,0.015522
0.2611,0.132101,0.011139
0.2639,0.131931,0.012968
0.2667,0.132524,0.010655
0.2694,0.132191,0.015746
0.2722,0.131847,0.015551
0.2750,0.133977,0.010941
0.2778,0.137810,0.010304
0.2806,0.140099,0.008695
0.2833,0.140102,0.006746
0.2861,0.139700,0.004046
0.2889,0.139805,0.005790
0.2917,0.139748,0.009184
0.2944,0.138905,0.007366
0.2972,0.137074,0.008300
0.3000,0.134772,0.008911
0.3028,0.133826,0.009364
0.3056,0.134823,0.009464
0.3083,0.134421,0.006632
0.3111,0.129808,0.004545
0.3139,0.123852,0.002431
0.3167,0.120187,0.002595
0.3194,0.117565,0.001029
0.3222,0.114588,0.002834
0.3250,0.113378,0.003750
0.3278,0.113851,0.005002
0.3306,0.111156,0.006400
0.3333,0.102275,0.007366
0.3361,0.090918,0.008019
0.3389,0.084370,0.007756
0.3417,0.086157,0.004870
0.3444,0.091566,0.004281
0.3472,0.093262,0.000821
0.3500,0.091584,0.000176
0.3528,0.092269,-0.001502
0.3556,0.094335,-0.000321
0.3583,0.090588,-0.000319
0.3611,0.079572,0.000215
0.3639,0.068048,0.002677
0.3667,0.063929,0.004744
0.3694,0.068647,0.003382
0.3722,0.069985,0.004594
0.3750,0.051815,0.006699
0.3778,0.020739,0.005620
0.3806,0.002044,0.005493
0.3833,0.002672,0.007399
0.3861,0.007553,0.007758
0.3889,0.009303,0.007647
0.3917,0.010793,0.006921
0.3944,0.011441,0.007778
0.3972,0.012822,0.009619
0.4000,0.019431,0.007608
0.4028,0.027733,0.007805
0.4056,0.033006,0.010791
