Time_s,Raw_Preprocessed_Norm,Denoised_Norm
0.0000,-0.132126,-0.059326
0.0028,-0.236278,-0.078293
0.0056,-0.221185,-0.098859
0.0083,-0.147156,-0.036905
0.0111,-0.134254,-0.075153
0.0139,-0.189832,-0.077117
0.0167,-0.239707,-0.066429
0.0194,-0.237548,-0.048903
0.0222,-0.199496,-0.104528
0.0250,-0.167969,-0.082688
0.0278,-0.161428,-0.120817
0.0306,-0.169242,-0.142358
0.0333,-0.180039,-0.136901
0.0361,-0.187701,-0.074633
0.0389,-0.184869,0.092194
0.0417,-0.163036,0.209194
0.0444,-0.117359,0.386483
0.0472,-0.072193,0.617369
0.0500,-0.065888,0.809589
0.0528,-0.071313,0.928773
0.0556,-0.048698,0.870961
0.0583,-0.080421,0.719297
0.0611,-0.190384,0.489774
0.0639,-0.166188,0.102474
0.0667,-0.028507,-0.259058
0.0694,-0.210577,-0.602282
0.0722,-0.525458,-0.771202
0.0750,0.101815,-0.878127
0.0778,1.858696,-0.723196
0.0806,3.338961,-0.384794
0.0833,3.592564,0.132807
0.0861,3.287417,0.566453
0.0889,3.158243,0.961421
0.0917,2.977312,1.250869
0.0944,2.468927,1.132150
0.0972,1.866652,1.051663
0.1000,1.389395,0.798927
0.1028,1.024431,0.603573
0.1056,0.763430,0.344263
0.1083,0.589464,0.178632
0.1111,0.411678,0.180205
0.1139,0.222979,0.103964
0.1167,0.122680,0.091601
0.1194,0.121451,0.059650
0.1222,0.109879,0.137730
0.1250,0.029910,0.144351
0.1278,-0.068254,0.007484
0.1306,-0.138301,-0.033001
0.1333,-0.193771,-0.064802
0.1361,-0.246204,-0.019233
0.1389,-0.274707,-0.045317
0.1417,-0.268112,-0.048175
0.1444,-0.243466,-0.082657
0.1472,-0.226146,-0.130284
0.1500,-0.230989,-0.067227
0.1528,-0.247653,-0.074261
0.1556,-0.257505,-0.046848
0.1583,-0.266400,-0.060490
0.1611,-0.280588,-0.073242
0.1639,-0.281110,-0.078398
0.1667,-0.270236,-0.071152
0.1694,-0.280397,-0.055651
0.1722,-0.306770,-0.094569
0.1750,-0.314764,-0.097842
0.1778,-0.310678,-0.101718
0.1806,-0.310655,-0.100152
0.1833,-0.278235,-0.104396
0.1861,-0.191385,-0.099464
0.1889,-0.110052,-0.092758
0.1917,-0.090658,-0.088372
0.1944,-0.109682,-0.081076
0.1972,-0.129853,-0.073728
0.2000,-0.156562,-0.072166
0.2028,-0.194202,-0.079511
0.2056,-0.215088,-0.076462
0.2083,-0.193280,-0.077438
0.2111,-0.143869,-0.078119
0.2139,-0.113624,-0.080204
0.2167,-0.122683,-0.074088
0.2194,-0.140981,-0.066262
0.2222,-0.144598,-0.059072
0.2250,-0.146219,-0.057000
0.2278,-0.148697,-0.045230
0.2306,-0.132610,-0.030861
0.2333,-0.104799,-0.025263
0.2361,-0.100879,-0.025816
0.2389,-0.135425,-0.019188
0.2417,-0.188068,-0.014342
0.2444,-0.225486,-0.009644
0.2472,-0.218777,-0.011124
0.2500,-0.166564,-0.005704
0.2528,-0.101246,0.012048
0.2556,-0.049710,0.028492
0.2583,-0.013433,0.042992
0.2611,0.005061,0.050223
0.2639,0.000604,0.071196
0.2667,-0.015645,0.081778
0.2694,-0.023581,0.091348
0.2722,0.002531,0.102788
0.2750,0.082949,0.106863
0.2778,0.186164,0.112116
0.2806,0.247967,0.125229
0.2833,0.266061,0.136513
0.2861,0.292997,0.149628
0.2889,0.338123,0.159299
0.2917,0.378477,0.179318
