Time_s,Raw_Preprocessed_Norm,Denoised_Norm
0.0000,-0.321049,-0.253966
0.0028,-0.917810,-0.216029
0.0056,-1.033850,-0.158665
0.0083,-0.897051,-0.196051
0.0111,-0.905782,-0.282583
0.0139,-1.010702,-0.242265
0.0167,-1.028161,-0.223872
0.0194,-1.005804,-0.239153
0.0222,-1.031461,-0.295995
0.0250,-1.062499,-0.249438
0.0278,-1.056295,-0.197409
0.0306,-1.051895,-0.193161
0.0333,-1.081484,-0.166134
0.0361,-1.113516,-0.121199
0.0389,-1.110508,-0.115575
0.0417,-1.085990,-0.129937
0.0444,-1.071294,-0.104628
0.0472,-1.066540,-0.075203
0.0500,-1.066783,-0.126131
0.0528,-1.087450,-0.174137
0.0556,-1.113757,-0.172943
0.0583,-1.099430,-0.172470
0.0611,-1.062605,-0.274151
0.0639,-1.058244,-0.286733
0.0667,-1.019508,-0.276275
0.0694,-0.822962,-0.256479
0.0722,-0.539022,-0.246852
0.0750,-0.374350,-0.212479
0.0778,-0.366857,-0.149156
0.0806,-0.383618,-0.102252
0.0833,-0.367515,-0.093632
0.0861,-0.364037,-0.080301
0.0889,-0.379906,-0.038076
0.0917,-0.377010,-0.019305
0.0944,-0.346543,-0.032445
0.0972,-0.311786,-0.024293
0.1000,-0.294891,-0.020539
0.1028,-0.297616,-0.006207
0.1056,-0.302347,-0.005249
0.1083,-0.300093,0.010496
0.1111,-0.301357,0.005967
0.1139,-0.305366,-0.004689
0.1167,-0.296476,0.019301
0.1194,-0.281710,0.019122
0.1222,-0.284338,0.020235
0.1250,-0.298988,0.016893
0.1278,-0.300204,0.026708
0.1306,-0.284898,0.024010
0.1333,-0.267338,0.025921
0.1361,-0.254787,0.031129
0.1389,-0.254509,0.032352
0.1417,-0.273119,0.032712
0.1444,-0.296702,0.032170
0.1472,-0.304012,0.036297
0.1500,-0.294387,0.035596
0.1528,-0.276409,0.034943
0.1556,-0.252070,0.036165
0.1583,-0.231421,0.038188
0.1611,-0.229881,0.041734
0.1639,-0.240844,0.040625
0.1667,-0.244939,0.039274
0.1694,-0.242797,0.042513
0.1722,-0.244275,0.044233
0.1750,-0.240666,0.041913
0.1778,-0.221661,0.041949
0.1806,-0.199175,0.045920
0.1833,-0.186518,0.049050
0.1861,-0.177097,0.049522
0.1889,-0.162857,0.051877
0.1917,-0.150915,0.055461
0.1944,-0.150054,0.057415
0.1972,-0.157544,0.056728
0.2000,-0.163649,0.056743
0.2028,-0.160030,0.057759
0.2056,-0.145618,0.058471
0.2083,-0.128479,0.059085
0.2111,-0.118503,0.062266
0.2139,-0.117246,0.064139
0.2167,-0.118121,0.068170
0.2194,-0.115779,0.069068
0.2222,-0.109856,0.074501
0.2250,-0.099332,0.074516
0.2278,-0.083178,0.070241
0.2306,-0.069827,0.072922
0.2333,-0.071712,0.076198
0.2361,-0.084603,0.078708
0.2389,-0.089618,0.079544
0.2417,-0.080970,0.085484
0.2444,-0.072663,0.095389
0.2472,-0.075541,0.097512
0.2500,-0.084643,0.102137
0.2528,-0.088573,0.107367
0.2556,-0.083296,0.113031
0.2583,-0.076824,0.108140
0.2611,-0.074997,0.104713
0.2639,-0.068557,0.107672
0.2667,-0.051625,0.102868
0.2694,-0.036812,0.098612
0.2722,-0.031012,0.101179
0.2750,-0.022177,0.102693
0.2778,-0.003414,0.100348
0.2806,0.019742,0.101314
0.2833,0.042741,0.108237
0.2861,0.056070,0.107501
0.2889,0.045778,0.101745
0.2917,0.018385,0.099584
0.2944,-0.000087,0.106519
0.2972,0.003540,0.106341
0.3000,0.019407,0.098293
0.3028,0.032571,0.097839
0.3056,0.036301,0.100599
0.3083,0.033353,0.102671
0.3111,0.030279,0.094150
0.3139,0.028943,0.087658
0.3167,0.027561,0.087967
0.3194,0.027559,0.088996
0.3222,0.028258,0.077690
0.3250,0.020740,0.072783
0.3278,0.001492,0.072943
0.3306,-0.015608,0.078280
0.3333,-0.014160,0.081460
0.3361,0.005513,0.095018
0.3389,0.027799,0.093733
0.3417,0.033121,0.087070
0.3444,0.012173,0.088139
0.3472,-0.019753,0.101435
0.3500,-0.036263,0.086065
0.3528,-0.031038,0.080780
0.3556,-0.009792,0.074060
0.3583,0.032927,0.089414
0.3611,0.087810,0.094387
0.3639,0.114606,0.097391
0.3667,0.096711,0.078435
0.3694,0.071174,0.074288
0.3722,0.074759,0.068586
0.3750,0.102807,0.016250
0.3778,0.130664,-0.041836
0.3806,0.140733,-0.106978
0.3833,0.132841,-0.147107
0.3861,0.122710,-0.188155
0.3889,0.118362,-0.170319
0.3917,0.110425,-0.136078
0.3944,0.103153,-0.099763
0.3972,0.118026,0.023298
0.4000,0.141906,0.164357
0.4028,0.117973,0.271111
0.4056,0.012514,0.324075
0.4083,-0.153506,0.332484
0.4111,-0.349182,0.289674
0.4139,-0.555102,0.150693
0.4167,-0.730487,0.014714
0.4194,-0.819495,-0.138888
0.4222,-0.803864,-0.205613
0.4250,-0.691437,-0.236517
0.4278,-0.461066,-0.237178
0.4306,-0.107380,-0.180096
0.4333,0.267376,-0.103300
0.4361,0.503916,-0.025993
0.4389,0.529835,0.021400
0.4417,0.402229,0.069908
0.4444,0.241714,0.043456
