Time_s,Raw_Preprocessed_Norm,Denoised_Norm
0.0000,0.035533,-0.036382
0.0028,-0.086205,-0.031915
0.0056,-0.108017,-0.027422
0.0083,-0.075944,-0.028634
0.0111,-0.070000,-0.033371
0.0139,-0.080207,-0.029739
0.0167,-0.073375,-0.024142
0.0194,-0.061782,-0.030116
0.0222,-0.060766,-0.033621
0.0250,-0.061139,-0.037782
0.0278,-0.056666,-0.035473
0.0306,-0.052579,-0.042472
0.0333,-0.051048,-0.042529
0.0361,-0.048755,-0.041730
0.0389,-0.043108,-0.042692
0.0417,-0.037899,-0.044354
0.0444,-0.039922,-0.039463
0.0472,-0.042410,-0.036811
0.0500,-0.032272,-0.039110
0.0528,-0.027108,-0.041262
0.0556,-0.061825,-0.043869
0.0583,-0.123118,-0.047635
0.0611,-0.157331,-0.054993
0.0639,-0.151604,-0.058075
0.0667,-0.141643,-0.060115
0.0694,-0.145138,-0.059169
0.0722,-0.148820,-0.056308
0.0750,-0.146739,-0.056011
0.0778,-0.145354,-0.052141
0.0806,-0.145495,-0.049149
0.0833,-0.144158,-0.048496
0.0861,-0.142270,-0.051431
0.0889,-0.141402,-0.055047
0.0917,-0.140734,-0.060608
0.0944,-0.139659,-0.066608
0.0972,-0.139159,-0.070980
0.1000,-0.139437,-0.073995
0.1028,-0.138573,-0.075891
0.1056,-0.135886,-0.073469
0.1083,-0.134520,-0.069950
0.1111,-0.137269,-0.069251
0.1139,-0.142119,-0.067725
0.1167,-0.144941,-0.064672
0.1194,-0.143893,-0.068050
0.1222,-0.139346,-0.075839
0.1250,-0.132934,-0.076366
0.1278,-0.128225,-0.080891
0.1306,-0.127976,-0.085356
0.1333,-0.128921,-0.085463
0.1361,-0.126245,-0.086564
0.1389,-0.124381,-0.085980
0.1417,-0.128665,-0.081244
0.1444,-0.128001,-0.077169
0.1472,-0.115198,-0.073422
0.1500,-0.118342,-0.072644
0.1528,-0.166849,-0.074223
0.1556,-0.237750,-0.073543
0.1583,-0.284590,-0.072416
0.1611,-0.295657,-0.074360
0.1639,-0.282305,-0.074313
0.1667,-0.250083,-0.074489
0.1694,-0.213246,-0.068098
0.1722,-0.193439,-0.065069
0.1750,-0.187334,-0.064879
0.1778,-0.173930,-0.062376
0.1806,-0.151221,-0.065443
0.1833,-0.132573,-0.072794
0.1861,-0.121696,-0.075608
0.1889,-0.114975,-0.081039
0.1917,-0.107212,-0.089263
0.1944,-0.086975,-0.092182
0.1972,-0.052478,-0.089049
0.2000,-0.024473,-0.086009
0.2028,-0.018533,-0.086920
0.2056,-0.024036,-0.080947
0.2083,-0.026593,-0.081553
0.2111,-0.026173,-0.087101
0.2139,-0.027317,-0.095305
0.2167,-0.031076,-0.104053
0.2194,-0.034658,-0.114312
0.2222,-0.035404,-0.113992
0.2250,-0.039974,-0.114548
0.2278,-0.052463,-0.112578
0.2306,-0.056128,-0.101957
0.2333,-0.048100,-0.094585
0.2361,-0.071622,-0.080079
0.2389,-0.149457,-0.062458
0.2417,-0.225401,-0.068136
