Filename,RMSE,PRD (%),SNRimp (dB)
170425_ste_thuonghtk_1,0.1665,61.2506,3.7579
170625_ste_thuonghtk_1,0.1397,79.7394,5.2090
170625_ste_thuonghtk_2,0.1299,78.0031,4.0674
170625_ste_thuonghtk_3(1),0.4775,60.9797,3.1677
170625_ste_thuonghtk_6(1),0.2314,65.1696,2.7422
270524_ste_thuong2,0.1258,67.6132,4.7287
270524_ste_thuong3,0.2270,65.9582,3.0213
270525_ste_anhtd03(1),0.3156,85.2425,4.1502
270525_ste_anhtd03,0.3156,85.2425,4.1502
270525_ste_anhtd04(1),0.4507,77.6351,4.9187
270525_ste_anhtd04,0.4507,77.6351,4.9187
270525_ste_anhtd05(1),0.5636,75.5627,6.1317
270525_ste_anhtd05,0.5636,75.5627,6.1317
270525_ste_anhtd06(1),0.3498,78.1491,4.3442
270525_ste_anhtd06,0.3498,78.1491,4.3442
270525_ste_anhtd07(1),0.1123,79.3395,3.4155
270525_ste_anhtd07,0.1123,79.3395,3.4155
270525_ste_anhtd2(1),0.6666,76.5811,7.4292
270525_ste_anhtd2,0.6666,76.5811,7.4292
270525_ste_thuong(1),0.2707,65.0498,4.5407
270525_ste_thuong,0.2707,65.0498,4.5407
280525_phuong05,0.0789,38.7376,4.9361
280525_ste_hinh02,0.2123,41.9779,6.6263
280525_ste_hinh03,0.2179,61.4931,2.5024
280525_ste_hinh04,0.3741,62.0013,3.7362
280525_ste_hinh05,0.3709,67.6144,4.6641
280525_ste_hinhlt01,0.1821,52.3046,3.0593
280525_ste_phuong02,0.3597,66.2365,6.8090
280525_ste_phuong03,0.2394,68.1251,6.1795
280525_ste_phuong04,0.1412,69.4639,2.3011
280525_ste_phuong_01,0.0414,87.1594,9.9645
280525_ste_phuongpt_01,0.4044,51.9353,6.7743
280525_ste_phuongpt_02,0.2426,52.9091,8.0108
280525_ste_tan01,0.5385,72.1565,4.2968
280525_ste_tan02,0.0421,80.5975,1.6776
280525_ste_tan03,0.1095,61.8806,4.5483
