=== SUMMARY ===
Metric,Average Value
RMSE,0.385631
PRD (%),88.398897
SNRimp (dB),9.071104

=== DETAIL METRICS ===
Filename,RMSE,PRD (%),SNRimp (dB)
170425_ste_thuonghtk_1,0.2089,76.8413,6.1632
170625_ste_thuonghtk_1,0.1273,72.6416,8.8454
170625_ste_thuonghtk_2,0.1333,80.0162,5.5774
170625_ste_thuonghtk_3(1),0.6055,77.3303,10.4124
170625_ste_thuonghtk_6(1),0.2762,77.7821,6.7831
270524_ste_thuong2,0.1376,73.9248,6.3333
270524_ste_thuong3,0.2554,74.2225,7.2905
270525_ste_anhtd03(1),0.4276,115.4844,8.2725
270525_ste_anhtd03,0.4276,115.4844,8.2725
270525_ste_anhtd04(1),0.6145,105.8443,12.8932
270525_ste_anhtd04,0.6145,105.8443,12.8932
270525_ste_anhtd05(1),0.7787,104.4072,14.9096
270525_ste_anhtd05,0.7787,104.4072,14.9096
270525_ste_anhtd06(1),0.4764,106.4430,14.7644
270525_ste_anhtd06,0.4764,106.4430,14.7644
270525_ste_anhtd07(1),0.1388,98.0327,9.0415
270525_ste_anhtd07,0.1388,98.0327,9.0415
270525_ste_anhtd2(1),0.9028,103.7131,12.8680
270525_ste_anhtd2,0.9028,103.7131,12.8680
270525_ste_thuong(1),0.3001,72.1366,5.2562
270525_ste_thuong,0.3001,72.1366,5.2562
280525_phuong05,0.1182,58.0662,5.6660
280525_ste_hinh02,0.3681,72.7807,6.0771
280525_ste_hinh03,0.2904,81.9399,8.7208
280525_ste_hinh04,0.4975,82.4476,8.6265
280525_ste_hinh05,0.5329,97.1377,7.4831
280525_ste_hinhlt01,0.2205,63.3258,6.2486
280525_ste_phuong02,0.4740,87.2874,17.5411
280525_ste_phuong03,0.3002,85.4069,22.7425
280525_ste_phuong04,0.1988,97.8059,11.2694
280525_ste_phuong_01,0.0438,92.1257,8.6399
280525_ste_phuongpt_01,0.5837,74.9671,3.5434
280525_ste_phuongpt_02,0.2934,63.9877,6.2787
280525_ste_tan01,0.7606,101.9315,5.9936
280525_ste_tan02,0.0573,109.5890,-0.1647
280525_ste_tan03,0.1216,68.6800,0.4779
